[INFO 2017-09-28 11:25:09,354 demo.py:262] Namespace(batch_size=64, bg_move=False, bg_noise=0.5, data='mpii64', diff_div_thresh=1.25, display=False, display_all=False, fg_noise=0.1, fixed_data=False, image_channel=3, image_size=64, init_model_path='', learning_rate=0.001, max_diff_thresh=0.1, min_diff_thresh=0.01, motion_range=2, motion_type='affine', num_frame=5, num_objects=1, save_dir='./', save_display=False, save_display_dir='./', save_interval=100, seed=111, test=False, test_all=False, test_epoch=20, test_gt=False, test_interval=2001, train=True, train_epoch=2000)
[INFO 2017-09-28 11:25:13,654 demo.py:78] epoch 0, train loss: 51543.53, average train loss: 51543.53, base loss: 13643.00
[INFO 2017-09-28 11:25:15,720 demo.py:78] epoch 1, train loss: 48197.87, average train loss: 49870.70, base loss: 14461.88
[INFO 2017-09-28 11:25:17,687 demo.py:78] epoch 2, train loss: 45926.20, average train loss: 48555.87, base loss: 14786.82
[INFO 2017-09-28 11:25:19,655 demo.py:78] epoch 3, train loss: 40888.96, average train loss: 46639.14, base loss: 14700.01
[INFO 2017-09-28 11:25:21,630 demo.py:78] epoch 4, train loss: 35907.72, average train loss: 44492.86, base loss: 14355.00
[INFO 2017-09-28 11:25:23,569 demo.py:78] epoch 5, train loss: 34730.22, average train loss: 42865.75, base loss: 14386.55
[INFO 2017-09-28 11:25:25,553 demo.py:78] epoch 6, train loss: 31413.98, average train loss: 41229.78, base loss: 14631.98
[INFO 2017-09-28 11:25:27,529 demo.py:78] epoch 7, train loss: 29806.52, average train loss: 39801.88, base loss: 14632.55
[INFO 2017-09-28 11:25:29,492 demo.py:78] epoch 8, train loss: 29598.40, average train loss: 38668.16, base loss: 14546.25
[INFO 2017-09-28 11:25:31,504 demo.py:78] epoch 9, train loss: 27243.76, average train loss: 37525.72, base loss: 14442.48
[INFO 2017-09-28 11:25:33,486 demo.py:78] epoch 10, train loss: 26431.97, average train loss: 36517.19, base loss: 14339.06
[INFO 2017-09-28 11:25:35,419 demo.py:78] epoch 11, train loss: 24651.35, average train loss: 35528.37, base loss: 14095.80
[INFO 2017-09-28 11:25:37,431 demo.py:78] epoch 12, train loss: 25423.86, average train loss: 34751.10, base loss: 14123.62
[INFO 2017-09-28 11:25:39,398 demo.py:78] epoch 13, train loss: 24945.37, average train loss: 34050.69, base loss: 14198.77
[INFO 2017-09-28 11:25:41,407 demo.py:78] epoch 14, train loss: 24217.84, average train loss: 33395.17, base loss: 14213.28
[INFO 2017-09-28 11:25:43,373 demo.py:78] epoch 15, train loss: 21715.34, average train loss: 32665.18, base loss: 14157.54
[INFO 2017-09-28 11:25:45,370 demo.py:78] epoch 16, train loss: 22077.83, average train loss: 32042.40, base loss: 14141.24
[INFO 2017-09-28 11:25:47,378 demo.py:78] epoch 17, train loss: 22934.62, average train loss: 31536.41, base loss: 14214.44
[INFO 2017-09-28 11:25:49,420 demo.py:78] epoch 18, train loss: 21032.26, average train loss: 30983.56, base loss: 14198.89
[INFO 2017-09-28 11:25:51,431 demo.py:78] epoch 19, train loss: 19328.66, average train loss: 30400.81, base loss: 14154.12
[INFO 2017-09-28 11:25:53,439 demo.py:78] epoch 20, train loss: 19038.15, average train loss: 29859.73, base loss: 14125.43
[INFO 2017-09-28 11:25:55,448 demo.py:78] epoch 21, train loss: 19473.47, average train loss: 29387.63, base loss: 14164.11
[INFO 2017-09-28 11:25:57,433 demo.py:78] epoch 22, train loss: 20183.90, average train loss: 28987.47, base loss: 14278.84
[INFO 2017-09-28 11:25:59,471 demo.py:78] epoch 23, train loss: 15996.14, average train loss: 28446.16, base loss: 14203.31
[INFO 2017-09-28 11:26:01,481 demo.py:78] epoch 24, train loss: 17023.00, average train loss: 27989.24, base loss: 14170.79
[INFO 2017-09-28 11:26:03,466 demo.py:78] epoch 25, train loss: 18043.82, average train loss: 27606.72, base loss: 14228.08
[INFO 2017-09-28 11:26:05,503 demo.py:78] epoch 26, train loss: 15412.09, average train loss: 27155.07, base loss: 14169.36
[INFO 2017-09-28 11:26:07,499 demo.py:78] epoch 27, train loss: 17509.65, average train loss: 26810.59, base loss: 14216.02
[INFO 2017-09-28 11:26:09,479 demo.py:78] epoch 28, train loss: 16144.52, average train loss: 26442.79, base loss: 14206.18
[INFO 2017-09-28 11:26:11,460 demo.py:78] epoch 29, train loss: 15584.67, average train loss: 26080.86, base loss: 14198.37
[INFO 2017-09-28 11:26:13,447 demo.py:78] epoch 30, train loss: 18205.76, average train loss: 25826.82, base loss: 14293.84
[INFO 2017-09-28 11:26:15,441 demo.py:78] epoch 31, train loss: 13668.50, average train loss: 25446.87, base loss: 14230.33
[INFO 2017-09-28 11:26:17,476 demo.py:78] epoch 32, train loss: 15608.95, average train loss: 25148.75, base loss: 14243.99
[INFO 2017-09-28 11:26:19,495 demo.py:78] epoch 33, train loss: 15532.48, average train loss: 24865.92, base loss: 14261.75
[INFO 2017-09-28 11:26:21,477 demo.py:78] epoch 34, train loss: 14466.92, average train loss: 24568.81, base loss: 14244.88
[INFO 2017-09-28 11:26:23,464 demo.py:78] epoch 35, train loss: 14260.38, average train loss: 24282.46, base loss: 14228.53
[INFO 2017-09-28 11:26:25,446 demo.py:78] epoch 36, train loss: 14408.14, average train loss: 24015.59, base loss: 14227.10
