[INFO 2017-09-28 17:26:07,163 demo.py:263] Namespace(batch_size=64, bg_move=True, bg_noise=0.5, data='box', diff_div_thresh=1.25, display=False, display_all=False, fg_noise=0.1, fixed_data=False, image_channel=3, image_size=32, init_model_path='', learning_rate=0.001, max_diff_thresh=0.1, min_diff_thresh=0.01, motion_range=2, motion_type='affine', num_frame=5, num_objects=1, save_dir='./', save_display=False, save_display_dir='./', save_interval=100, seed=111, test=False, test_all=False, test_epoch=20, test_gt=False, test_interval=200, train=True, train_epoch=2000)
[INFO 2017-09-28 17:26:09,759 demo.py:79] epoch 0, train loss: 19482.02, average train loss: 19482.02, base loss: 27908.55
[INFO 2017-09-28 17:26:10,541 demo.py:79] epoch 1, train loss: 18521.51, average train loss: 19001.76, base loss: 27290.91
[INFO 2017-09-28 17:26:11,317 demo.py:79] epoch 2, train loss: 18418.18, average train loss: 18807.23, base loss: 27123.52
[INFO 2017-09-28 17:26:12,092 demo.py:79] epoch 3, train loss: 18109.91, average train loss: 18632.90, base loss: 27249.58
[INFO 2017-09-28 17:26:12,866 demo.py:79] epoch 4, train loss: 18724.01, average train loss: 18651.13, base loss: 27427.31
[INFO 2017-09-28 17:26:13,635 demo.py:79] epoch 5, train loss: 17719.42, average train loss: 18495.84, base loss: 27292.29
[INFO 2017-09-28 17:26:14,406 demo.py:79] epoch 6, train loss: 17622.87, average train loss: 18371.13, base loss: 27395.71
[INFO 2017-09-28 17:26:15,183 demo.py:79] epoch 7, train loss: 17637.35, average train loss: 18279.41, base loss: 27474.83
[INFO 2017-09-28 17:26:15,954 demo.py:79] epoch 8, train loss: 17002.83, average train loss: 18137.57, base loss: 27426.84
[INFO 2017-09-28 17:26:16,724 demo.py:79] epoch 9, train loss: 16874.96, average train loss: 18011.30, base loss: 27315.35
[INFO 2017-09-28 17:26:17,484 demo.py:79] epoch 10, train loss: 16970.60, average train loss: 17916.70, base loss: 27349.45
[INFO 2017-09-28 17:26:18,254 demo.py:79] epoch 11, train loss: 16669.71, average train loss: 17812.78, base loss: 27331.43
[INFO 2017-09-28 17:26:19,019 demo.py:79] epoch 12, train loss: 16816.20, average train loss: 17736.12, base loss: 27379.62
[INFO 2017-09-28 17:26:19,784 demo.py:79] epoch 13, train loss: 16914.46, average train loss: 17677.43, base loss: 27459.41
[INFO 2017-09-28 17:26:20,551 demo.py:79] epoch 14, train loss: 16546.96, average train loss: 17602.07, base loss: 27497.55
[INFO 2017-09-28 17:26:21,319 demo.py:79] epoch 15, train loss: 16111.08, average train loss: 17508.88, base loss: 27418.07
[INFO 2017-09-28 17:26:22,080 demo.py:79] epoch 16, train loss: 16221.27, average train loss: 17433.14, base loss: 27421.20
[INFO 2017-09-28 17:26:22,852 demo.py:79] epoch 17, train loss: 16424.27, average train loss: 17377.09, base loss: 27445.67
[INFO 2017-09-28 17:26:23,617 demo.py:79] epoch 18, train loss: 16130.15, average train loss: 17311.46, base loss: 27375.85
[INFO 2017-09-28 17:26:24,400 demo.py:79] epoch 19, train loss: 15830.43, average train loss: 17237.41, base loss: 27314.31
[INFO 2017-09-28 17:26:25,165 demo.py:79] epoch 20, train loss: 15928.66, average train loss: 17175.09, base loss: 27350.68
[INFO 2017-09-28 17:26:25,938 demo.py:79] epoch 21, train loss: 15723.00, average train loss: 17109.08, base loss: 27386.07
[INFO 2017-09-28 17:26:26,700 demo.py:79] epoch 22, train loss: 15911.74, average train loss: 17057.02, base loss: 27394.85
[INFO 2017-09-28 17:26:27,475 demo.py:79] epoch 23, train loss: 15704.25, average train loss: 17000.66, base loss: 27383.41
[INFO 2017-09-28 17:26:28,239 demo.py:79] epoch 24, train loss: 15893.38, average train loss: 16956.37, base loss: 27380.01
