[INFO 2017-09-28 18:02:00,779 demo.py:265] Namespace(batch_size=64, bg_move=True, bg_noise=0.5, data='box_complex', diff_div_thresh=1.25, display=False, display_all=False, fg_noise=0.1, fixed_data=False, image_channel=3, image_size=32, init_model_path='', learning_rate=0.001, max_diff_thresh=0.1, min_diff_thresh=0.01, motion_range=2, motion_type='affine', num_frame=5, num_objects=1, save_dir='./', save_display=False, save_display_dir='./', save_interval=100, seed=111, test=False, test_all=False, test_epoch=20, test_gt=False, test_interval=200, train=True, train_epoch=2000)
[INFO 2017-09-28 18:02:03,425 demo.py:79] epoch 0, train loss: 16511.63, average train loss: 16511.63, base loss: 23430.11
[INFO 2017-09-28 18:02:04,242 demo.py:79] epoch 1, train loss: 16284.79, average train loss: 16398.21, base loss: 24231.80
[INFO 2017-09-28 18:02:05,050 demo.py:79] epoch 2, train loss: 15551.42, average train loss: 16115.95, base loss: 24143.16
[INFO 2017-09-28 18:02:05,853 demo.py:79] epoch 3, train loss: 16228.25, average train loss: 16144.02, base loss: 24279.68
[INFO 2017-09-28 18:02:06,651 demo.py:79] epoch 4, train loss: 16579.41, average train loss: 16231.10, base loss: 24237.92
[INFO 2017-09-28 18:02:07,451 demo.py:79] epoch 5, train loss: 16657.98, average train loss: 16302.25, base loss: 24293.64
[INFO 2017-09-28 18:02:08,254 demo.py:79] epoch 6, train loss: 15917.01, average train loss: 16247.21, base loss: 24244.42
[INFO 2017-09-28 18:02:09,053 demo.py:79] epoch 7, train loss: 16251.72, average train loss: 16247.78, base loss: 24198.14
[INFO 2017-09-28 18:02:09,850 demo.py:79] epoch 8, train loss: 15916.60, average train loss: 16210.98, base loss: 24112.23
[INFO 2017-09-28 18:02:10,651 demo.py:79] epoch 9, train loss: 16205.75, average train loss: 16210.46, base loss: 24153.68
[INFO 2017-09-28 18:02:11,452 demo.py:79] epoch 10, train loss: 16042.45, average train loss: 16195.18, base loss: 24251.22
[INFO 2017-09-28 18:02:12,259 demo.py:79] epoch 11, train loss: 16035.54, average train loss: 16181.88, base loss: 24246.36
[INFO 2017-09-28 18:02:13,068 demo.py:79] epoch 12, train loss: 15747.26, average train loss: 16148.45, base loss: 24257.04
[INFO 2017-09-28 18:02:13,877 demo.py:79] epoch 13, train loss: 15953.90, average train loss: 16134.55, base loss: 24302.86
[INFO 2017-09-28 18:02:14,682 demo.py:79] epoch 14, train loss: 16013.98, average train loss: 16126.51, base loss: 24302.46
[INFO 2017-09-28 18:02:15,492 demo.py:79] epoch 15, train loss: 15516.70, average train loss: 16088.40, base loss: 24246.51
[INFO 2017-09-28 18:02:16,296 demo.py:79] epoch 16, train loss: 15505.14, average train loss: 16054.09, base loss: 24198.27
[INFO 2017-09-28 18:02:17,103 demo.py:79] epoch 17, train loss: 15501.90, average train loss: 16023.41, base loss: 24193.98
[INFO 2017-09-28 18:02:17,901 demo.py:79] epoch 18, train loss: 15632.59, average train loss: 16002.84, base loss: 24210.99
[INFO 2017-09-28 18:02:18,721 demo.py:79] epoch 19, train loss: 14926.16, average train loss: 15949.01, base loss: 24198.44
[INFO 2017-09-28 18:02:19,526 demo.py:79] epoch 20, train loss: 15603.30, average train loss: 15932.55, base loss: 24214.62
[INFO 2017-09-28 18:02:20,332 demo.py:79] epoch 21, train loss: 15622.20, average train loss: 15918.44, base loss: 24182.69
[INFO 2017-09-28 18:02:21,139 demo.py:79] epoch 22, train loss: 15279.08, average train loss: 15890.64, base loss: 24198.23
[INFO 2017-09-28 18:02:21,951 demo.py:79] epoch 23, train loss: 15320.95, average train loss: 15866.91, base loss: 24201.99
[INFO 2017-09-28 18:02:22,747 demo.py:79] epoch 24, train loss: 16109.26, average train loss: 15876.60, base loss: 24236.88
[INFO 2017-09-28 18:02:23,551 demo.py:79] epoch 25, train loss: 15340.07, average train loss: 15855.96, base loss: 24225.64
[INFO 2017-09-28 18:02:24,355 demo.py:79] epoch 26, train loss: 15464.88, average train loss: 15841.48, base loss: 24258.03
[INFO 2017-09-28 18:02:25,165 demo.py:79] epoch 27, train loss: 15131.84, average train loss: 15816.14, base loss: 24263.76
[INFO 2017-09-28 18:02:25,974 demo.py:79] epoch 28, train loss: 14958.06, average train loss: 15786.55, base loss: 24250.12
[INFO 2017-09-28 18:02:26,776 demo.py:79] epoch 29, train loss: 15183.23, average train loss: 15766.44, base loss: 24271.93
[INFO 2017-09-28 18:02:27,581 demo.py:79] epoch 30, train loss: 15218.45, average train loss: 15748.76, base loss: 24276.11
