[INFO 2017-10-02 18:28:51,786 demo.py:215] Namespace(batch_size=32, bg_move=False, bg_noise=0.5, data='robot128', diff_div_thresh=1.25, display=False, display_all=False, fg_noise=0.1, fixed_data=False, image_channel=3, image_size=128, init_model_path='', learning_rate=0.001, max_diff_thresh=0.1, min_diff_thresh=0.01, motion_range=2, motion_type='affine', num_frame=3, num_objects=1, save_dir='./', save_display=False, save_display_dir='./', save_interval=100, seed=111, test=False, test_all=False, test_epoch=20, test_gt=False, test_interval=200, train=True, train_epoch=2000)
[INFO 2017-10-02 18:28:58,416 demo.py:73] epoch 0, train loss: 82865.52, average train loss: 82865.52, base loss: 29199.09
[INFO 2017-10-02 18:29:00,220 demo.py:73] epoch 1, train loss: 72795.21, average train loss: 77830.36, base loss: 29100.87
[INFO 2017-10-02 18:29:01,983 demo.py:73] epoch 2, train loss: 68693.16, average train loss: 74784.63, base loss: 29630.27
[INFO 2017-10-02 18:29:03,736 demo.py:73] epoch 3, train loss: 62245.19, average train loss: 71649.77, base loss: 29551.67
[INFO 2017-10-02 18:29:05,445 demo.py:73] epoch 4, train loss: 54419.55, average train loss: 68203.72, base loss: 28695.69
[INFO 2017-10-02 18:29:07,237 demo.py:73] epoch 5, train loss: 55071.36, average train loss: 66015.00, base loss: 28734.07
[INFO 2017-10-02 18:29:09,088 demo.py:73] epoch 6, train loss: 48346.87, average train loss: 63490.98, base loss: 28406.66
[INFO 2017-10-02 18:29:10,896 demo.py:73] epoch 7, train loss: 45208.09, average train loss: 61205.62, base loss: 28245.67
[INFO 2017-10-02 18:29:12,665 demo.py:73] epoch 8, train loss: 42856.18, average train loss: 59166.79, base loss: 28150.00
[INFO 2017-10-02 18:29:14,414 demo.py:73] epoch 9, train loss: 42273.85, average train loss: 57477.50, base loss: 28192.04
[INFO 2017-10-02 18:29:16,162 demo.py:73] epoch 10, train loss: 37165.62, average train loss: 55630.96, base loss: 27932.74
[INFO 2017-10-02 18:29:17,936 demo.py:73] epoch 11, train loss: 37229.26, average train loss: 54097.49, base loss: 27912.46
[INFO 2017-10-02 18:29:19,716 demo.py:73] epoch 12, train loss: 34595.18, average train loss: 52597.31, base loss: 27781.88
[INFO 2017-10-02 18:29:21,504 demo.py:73] epoch 13, train loss: 33735.88, average train loss: 51250.06, base loss: 27779.10
[INFO 2017-10-02 18:29:23,251 demo.py:73] epoch 14, train loss: 34295.64, average train loss: 50119.77, base loss: 27849.82
[INFO 2017-10-02 18:29:25,044 demo.py:73] epoch 15, train loss: 32257.12, average train loss: 49003.35, base loss: 27817.09
[INFO 2017-10-02 18:29:26,880 demo.py:73] epoch 16, train loss: 29945.28, average train loss: 47882.29, base loss: 27742.33
[INFO 2017-10-02 18:29:28,674 demo.py:73] epoch 17, train loss: 32451.52, average train loss: 47025.03, base loss: 27854.92
[INFO 2017-10-02 18:29:30,499 demo.py:73] epoch 18, train loss: 27910.34, average train loss: 46018.99, base loss: 27711.28
[INFO 2017-10-02 18:29:32,259 demo.py:73] epoch 19, train loss: 28468.11, average train loss: 45141.45, base loss: 27658.41
[INFO 2017-10-02 18:29:33,993 demo.py:73] epoch 20, train loss: 26622.29, average train loss: 44259.58, base loss: 27527.72
[INFO 2017-10-02 18:29:35,747 demo.py:73] epoch 21, train loss: 27805.90, average train loss: 43511.69, base loss: 27498.14
[INFO 2017-10-02 18:29:37,611 demo.py:73] epoch 22, train loss: 24282.99, average train loss: 42675.66, base loss: 27303.50
[INFO 2017-10-02 18:29:39,438 demo.py:73] epoch 23, train loss: 27345.95, average train loss: 42036.92, base loss: 27283.73
[INFO 2017-10-02 18:29:41,235 demo.py:73] epoch 24, train loss: 29048.84, average train loss: 41517.39, base loss: 27360.67
[INFO 2017-10-02 18:29:43,040 demo.py:73] epoch 25, train loss: 26341.37, average train loss: 40933.70, base loss: 27332.98
[INFO 2017-10-02 18:29:44,859 demo.py:73] epoch 26, train loss: 26151.31, average train loss: 40386.21, base loss: 27297.12
[INFO 2017-10-02 18:29:46,615 demo.py:73] epoch 27, train loss: 28229.75, average train loss: 39952.05, base loss: 27341.09
[INFO 2017-10-02 18:29:48,365 demo.py:73] epoch 28, train loss: 26737.00, average train loss: 39496.36, base loss: 27335.78
[INFO 2017-10-02 18:29:50,144 demo.py:73] epoch 29, train loss: 29681.65, average train loss: 39169.20, base loss: 27445.93
[INFO 2017-10-02 18:29:52,013 demo.py:73] epoch 30, train loss: 28547.81, average train loss: 38826.57, base loss: 27514.84
[INFO 2017-10-02 18:29:53,886 demo.py:73] epoch 31, train loss: 28693.61, average train loss: 38509.92, base loss: 27584.85
[INFO 2017-10-02 18:29:55,875 demo.py:73] epoch 32, train loss: 28573.51, average train loss: 38208.81, base loss: 27653.64
[INFO 2017-10-02 18:29:57,849 demo.py:73] epoch 33, train loss: 27160.24, average train loss: 37883.86, base loss: 27676.30
[INFO 2017-10-02 18:29:59,851 demo.py:73] epoch 34, train loss: 27198.92, average train loss: 37578.57, base loss: 27699.96
[INFO 2017-10-02 18:30:01,875 demo.py:73] epoch 35, train loss: 28723.78, average train loss: 37332.61, base loss: 27776.25
[INFO 2017-10-02 18:30:03,842 demo.py:73] epoch 36, train loss: 25560.08, average train loss: 37014.43, base loss: 27755.33
[INFO 2017-10-02 18:30:05,910 demo.py:73] epoch 37, train loss: 27687.78, average train loss: 36768.99, base loss: 27797.26
[INFO 2017-10-02 18:30:07,872 demo.py:73] epoch 38, train loss: 25294.39, average train loss: 36474.77, base loss: 27778.30
[INFO 2017-10-02 18:30:09,921 demo.py:73] epoch 39, train loss: 25660.22, average train loss: 36204.41, base loss: 27768.78
[INFO 2017-10-02 18:30:11,998 demo.py:73] epoch 40, train loss: 28034.89, average train loss: 36005.15, base loss: 27838.09
[INFO 2017-10-02 18:30:14,132 demo.py:73] epoch 41, train loss: 25198.62, average train loss: 35747.85, base loss: 27820.20
[INFO 2017-10-02 18:30:16,290 demo.py:73] epoch 42, train loss: 24905.16, average train loss: 35495.70, base loss: 27792.74
[INFO 2017-10-02 18:30:18,401 demo.py:73] epoch 43, train loss: 25141.14, average train loss: 35260.37, base loss: 27781.21
[INFO 2017-10-02 18:30:20,536 demo.py:73] epoch 44, train loss: 27154.49, average train loss: 35080.24, base loss: 27805.47
[INFO 2017-10-02 18:30:22,725 demo.py:73] epoch 45, train loss: 25328.92, average train loss: 34868.25, base loss: 27792.25
[INFO 2017-10-02 18:30:24,876 demo.py:73] epoch 46, train loss: 29242.72, average train loss: 34748.56, base loss: 27886.15
[INFO 2017-10-02 18:30:27,053 demo.py:73] epoch 47, train loss: 25963.53, average train loss: 34565.54, base loss: 27887.69
[INFO 2017-10-02 18:30:29,261 demo.py:73] epoch 48, train loss: 25494.75, average train loss: 34380.42, base loss: 27889.89
[INFO 2017-10-02 18:30:31,450 demo.py:73] epoch 49, train loss: 25783.65, average train loss: 34208.48, base loss: 27896.22
[INFO 2017-10-02 18:30:33,655 demo.py:73] epoch 50, train loss: 25536.59, average train loss: 34038.45, base loss: 27896.82
[INFO 2017-10-02 18:30:35,844 demo.py:73] epoch 51, train loss: 23290.77, average train loss: 33831.76, base loss: 27861.45
[INFO 2017-10-02 18:30:38,002 demo.py:73] epoch 52, train loss: 25002.27, average train loss: 33665.17, base loss: 27855.89
[INFO 2017-10-02 18:30:40,204 demo.py:73] epoch 53, train loss: 27164.12, average train loss: 33544.78, base loss: 27886.86
[INFO 2017-10-02 18:30:42,358 demo.py:73] epoch 54, train loss: 25642.44, average train loss: 33401.10, base loss: 27889.35
[INFO 2017-10-02 18:30:44,577 demo.py:73] epoch 55, train loss: 24318.29, average train loss: 33238.90, base loss: 27885.52
[INFO 2017-10-02 18:30:46,779 demo.py:73] epoch 56, train loss: 25812.04, average train loss: 33108.61, base loss: 27900.91
[INFO 2017-10-02 18:30:48,906 demo.py:73] epoch 57, train loss: 23465.86, average train loss: 32942.35, base loss: 27871.70
[INFO 2017-10-02 18:30:51,052 demo.py:73] epoch 58, train loss: 25414.62, average train loss: 32814.77, base loss: 27871.00
[INFO 2017-10-02 18:30:53,295 demo.py:73] epoch 59, train loss: 24012.17, average train loss: 32668.06, base loss: 27858.51
[INFO 2017-10-02 18:30:55,529 demo.py:73] epoch 60, train loss: 25415.98, average train loss: 32549.17, base loss: 27865.96
[INFO 2017-10-02 18:30:57,696 demo.py:73] epoch 61, train loss: 25552.27, average train loss: 32436.32, base loss: 27873.90
[INFO 2017-10-02 18:30:59,851 demo.py:73] epoch 62, train loss: 29251.67, average train loss: 32385.77, base loss: 27955.96
[INFO 2017-10-02 18:31:02,086 demo.py:73] epoch 63, train loss: 23764.48, average train loss: 32251.06, base loss: 27938.21
[INFO 2017-10-02 18:31:04,225 demo.py:73] epoch 64, train loss: 26040.82, average train loss: 32155.52, base loss: 27964.99
[INFO 2017-10-02 18:31:06,375 demo.py:73] epoch 65, train loss: 23953.45, average train loss: 32031.24, base loss: 27950.08
[INFO 2017-10-02 18:31:08,556 demo.py:73] epoch 66, train loss: 24858.10, average train loss: 31924.18, base loss: 27956.45
[INFO 2017-10-02 18:31:10,707 demo.py:73] epoch 67, train loss: 25901.22, average train loss: 31835.61, base loss: 27991.75
[INFO 2017-10-02 18:31:12,873 demo.py:73] epoch 68, train loss: 24948.89, average train loss: 31735.80, base loss: 27995.73
[INFO 2017-10-02 18:31:15,070 demo.py:73] epoch 69, train loss: 25023.58, average train loss: 31639.91, base loss: 28011.06
[INFO 2017-10-02 18:31:17,339 demo.py:73] epoch 70, train loss: 25304.00, average train loss: 31550.67, base loss: 28027.57
[INFO 2017-10-02 18:31:19,569 demo.py:73] epoch 71, train loss: 24726.70, average train loss: 31455.90, base loss: 28029.29
[INFO 2017-10-02 18:31:21,773 demo.py:73] epoch 72, train loss: 24399.66, average train loss: 31359.23, base loss: 28030.91
[INFO 2017-10-02 18:31:23,901 demo.py:73] epoch 73, train loss: 26044.65, average train loss: 31287.42, base loss: 28047.51
[INFO 2017-10-02 18:31:26,108 demo.py:73] epoch 74, train loss: 23876.65, average train loss: 31188.61, base loss: 28040.71
[INFO 2017-10-02 18:31:28,287 demo.py:73] epoch 75, train loss: 23567.72, average train loss: 31088.33, base loss: 28029.82
[INFO 2017-10-02 18:31:30,416 demo.py:73] epoch 76, train loss: 23429.57, average train loss: 30988.87, base loss: 28011.73
[INFO 2017-10-02 18:31:32,590 demo.py:73] epoch 77, train loss: 22466.70, average train loss: 30879.61, base loss: 27975.36
[INFO 2017-10-02 18:31:34,792 demo.py:73] epoch 78, train loss: 24543.56, average train loss: 30799.40, base loss: 27982.98
[INFO 2017-10-02 18:31:36,972 demo.py:73] epoch 79, train loss: 23393.19, average train loss: 30706.83, base loss: 27973.07
[INFO 2017-10-02 18:31:39,075 demo.py:73] epoch 80, train loss: 23781.04, average train loss: 30621.32, base loss: 27960.66
[INFO 2017-10-02 18:31:41,242 demo.py:73] epoch 81, train loss: 25244.55, average train loss: 30555.75, base loss: 27979.82
[INFO 2017-10-02 18:31:43,408 demo.py:73] epoch 82, train loss: 26699.33, average train loss: 30509.29, base loss: 28011.07
[INFO 2017-10-02 18:31:45,602 demo.py:73] epoch 83, train loss: 26844.69, average train loss: 30465.66, base loss: 28043.24
[INFO 2017-10-02 18:31:47,769 demo.py:73] epoch 84, train loss: 23243.49, average train loss: 30380.70, base loss: 28023.80
[INFO 2017-10-02 18:31:50,019 demo.py:73] epoch 85, train loss: 23483.24, average train loss: 30300.49, base loss: 28015.01
[INFO 2017-10-02 18:31:52,189 demo.py:73] epoch 86, train loss: 20285.62, average train loss: 30185.38, base loss: 27963.06
[INFO 2017-10-02 18:31:54,388 demo.py:73] epoch 87, train loss: 23761.02, average train loss: 30112.38, base loss: 27967.06
[INFO 2017-10-02 18:31:56,621 demo.py:73] epoch 88, train loss: 24229.95, average train loss: 30046.28, base loss: 27964.89
[INFO 2017-10-02 18:31:58,817 demo.py:73] epoch 89, train loss: 22813.51, average train loss: 29965.92, base loss: 27953.37
[INFO 2017-10-02 18:32:00,994 demo.py:73] epoch 90, train loss: 23152.99, average train loss: 29891.05, base loss: 27926.64
[INFO 2017-10-02 18:32:03,156 demo.py:73] epoch 91, train loss: 23354.64, average train loss: 29820.00, base loss: 27913.14
[INFO 2017-10-02 18:32:05,349 demo.py:73] epoch 92, train loss: 24496.65, average train loss: 29762.76, base loss: 27926.80
[INFO 2017-10-02 18:32:07,513 demo.py:73] epoch 93, train loss: 24216.51, average train loss: 29703.76, base loss: 27936.88
[INFO 2017-10-02 18:32:09,674 demo.py:73] epoch 94, train loss: 23571.29, average train loss: 29639.21, base loss: 27939.18
[INFO 2017-10-02 18:32:11,859 demo.py:73] epoch 95, train loss: 21876.70, average train loss: 29558.35, base loss: 27909.75
[INFO 2017-10-02 18:32:14,019 demo.py:73] epoch 96, train loss: 21359.10, average train loss: 29473.82, base loss: 27881.04
[INFO 2017-10-02 18:32:16,225 demo.py:73] epoch 97, train loss: 23663.44, average train loss: 29414.53, base loss: 27872.33
[INFO 2017-10-02 18:32:18,442 demo.py:73] epoch 98, train loss: 27707.40, average train loss: 29397.29, base loss: 27922.50
[INFO 2017-10-02 18:32:20,583 demo.py:73] epoch 99, train loss: 23292.97, average train loss: 29336.24, base loss: 27919.79
[INFO 2017-10-02 18:32:22,773 demo.py:73] epoch 100, train loss: 25503.24, average train loss: 28762.62, base loss: 27924.41
[INFO 2017-10-02 18:32:25,039 demo.py:73] epoch 101, train loss: 24855.59, average train loss: 28283.22, base loss: 27924.91
[INFO 2017-10-02 18:32:27,189 demo.py:73] epoch 102, train loss: 25158.28, average train loss: 27847.88, base loss: 27920.49
[INFO 2017-10-02 18:32:29,340 demo.py:73] epoch 103, train loss: 25095.18, average train loss: 27476.38, base loss: 27928.32
[INFO 2017-10-02 18:32:31,577 demo.py:73] epoch 104, train loss: 23706.85, average train loss: 27169.25, base loss: 27945.65
[INFO 2017-10-02 18:32:33,752 demo.py:73] epoch 105, train loss: 23530.36, average train loss: 26853.84, base loss: 27942.87
[INFO 2017-10-02 18:32:35,955 demo.py:73] epoch 106, train loss: 22807.36, average train loss: 26598.44, base loss: 27948.61
[INFO 2017-10-02 18:32:38,166 demo.py:73] epoch 107, train loss: 22991.20, average train loss: 26376.27, base loss: 27945.29
[INFO 2017-10-02 18:32:40,383 demo.py:73] epoch 108, train loss: 24619.62, average train loss: 26193.91, base loss: 27958.25
[INFO 2017-10-02 18:32:42,600 demo.py:73] epoch 109, train loss: 22912.24, average train loss: 26000.29, base loss: 27933.67
[INFO 2017-10-02 18:32:44,696 demo.py:73] epoch 110, train loss: 22939.39, average train loss: 25858.03, base loss: 27954.17
[INFO 2017-10-02 18:32:46,866 demo.py:73] epoch 111, train loss: 24997.06, average train loss: 25735.71, base loss: 27967.18
[INFO 2017-10-02 18:32:49,046 demo.py:73] epoch 112, train loss: 23666.46, average train loss: 25626.42, base loss: 27985.60
[INFO 2017-10-02 18:32:51,243 demo.py:73] epoch 113, train loss: 25972.22, average train loss: 25548.78, base loss: 28007.89
[INFO 2017-10-02 18:32:53,448 demo.py:73] epoch 114, train loss: 22611.00, average train loss: 25431.94, base loss: 27986.72
[INFO 2017-10-02 18:32:55,611 demo.py:73] epoch 115, train loss: 23960.78, average train loss: 25348.97, base loss: 28004.91
[INFO 2017-10-02 18:32:57,820 demo.py:73] epoch 116, train loss: 23671.41, average train loss: 25286.24, base loss: 28029.26
[INFO 2017-10-02 18:33:00,000 demo.py:73] epoch 117, train loss: 23036.93, average train loss: 25192.09, base loss: 27995.38
[INFO 2017-10-02 18:33:02,219 demo.py:73] epoch 118, train loss: 21134.35, average train loss: 25124.33, base loss: 27981.63
[INFO 2017-10-02 18:33:04,381 demo.py:73] epoch 119, train loss: 24688.71, average train loss: 25086.54, base loss: 28006.17
[INFO 2017-10-02 18:33:06,638 demo.py:73] epoch 120, train loss: 24026.86, average train loss: 25060.58, base loss: 28042.18
[INFO 2017-10-02 18:33:08,832 demo.py:73] epoch 121, train loss: 25797.85, average train loss: 25040.50, base loss: 28085.48
[INFO 2017-10-02 18:33:11,031 demo.py:73] epoch 122, train loss: 23039.97, average train loss: 25028.07, base loss: 28120.20
[INFO 2017-10-02 18:33:13,185 demo.py:73] epoch 123, train loss: 22043.87, average train loss: 24975.05, base loss: 28117.56
[INFO 2017-10-02 18:33:15,377 demo.py:73] epoch 124, train loss: 24816.01, average train loss: 24932.72, base loss: 28126.32
[INFO 2017-10-02 18:33:17,606 demo.py:73] epoch 125, train loss: 23764.78, average train loss: 24906.96, base loss: 28145.44
[INFO 2017-10-02 18:33:19,717 demo.py:73] epoch 126, train loss: 24277.19, average train loss: 24888.22, base loss: 28180.38
[INFO 2017-10-02 18:33:21,887 demo.py:73] epoch 127, train loss: 21445.40, average train loss: 24820.37, base loss: 28159.42
[INFO 2017-10-02 18:33:24,050 demo.py:73] epoch 128, train loss: 21995.29, average train loss: 24772.95, base loss: 28153.49
[INFO 2017-10-02 18:33:26,207 demo.py:73] epoch 129, train loss: 22727.53, average train loss: 24703.41, base loss: 28121.58
[INFO 2017-10-02 18:33:28,421 demo.py:73] epoch 130, train loss: 21617.33, average train loss: 24634.11, base loss: 28080.77
[INFO 2017-10-02 18:33:30,556 demo.py:73] epoch 131, train loss: 23587.00, average train loss: 24583.04, base loss: 28069.87
