[INFO 2017-10-23 14:16:38,048 demo.py:215] Namespace(batch_size=32, bg_move=False, bg_noise=0.5, data='robot128', diff_div_thresh=1.25, display=False, display_all=False, fg_noise=0.1, fixed_data=False, image_channel=3, image_size=128, init_model_path='', learning_rate=0.001, max_diff_thresh=0.1, min_diff_thresh=0.01, motion_range=2, motion_type='affine', num_frame=3, num_objects=1, rand_noise=0.02, save_dir='./', save_display=False, save_display_dir='./', save_interval=100, seed=111, test=False, test_all=False, test_epoch=20, test_gt=False, test_interval=200, train=True, train_epoch=2000)
[INFO 2017-10-23 14:16:44,623 demo.py:73] epoch 0, train loss: 84308.85, average train loss: 84308.85, base loss: 31185.83
[INFO 2017-10-23 14:16:46,411 demo.py:73] epoch 1, train loss: 75031.64, average train loss: 79670.25, base loss: 30331.50
[INFO 2017-10-23 14:16:48,217 demo.py:73] epoch 2, train loss: 69350.02, average train loss: 76230.17, base loss: 30582.40
[INFO 2017-10-23 14:16:50,015 demo.py:73] epoch 3, train loss: 64162.72, average train loss: 73213.31, base loss: 30293.87
[INFO 2017-10-23 14:16:51,793 demo.py:73] epoch 4, train loss: 60784.52, average train loss: 70727.55, base loss: 30544.81
[INFO 2017-10-23 14:16:53,620 demo.py:73] epoch 5, train loss: 58632.91, average train loss: 68711.78, base loss: 31089.89
[INFO 2017-10-23 14:16:55,452 demo.py:73] epoch 6, train loss: 55497.82, average train loss: 66824.07, base loss: 31336.18
[INFO 2017-10-23 14:16:57,194 demo.py:73] epoch 7, train loss: 53607.05, average train loss: 65171.94, base loss: 31578.11
[INFO 2017-10-23 14:16:58,996 demo.py:73] epoch 8, train loss: 48600.28, average train loss: 63330.65, base loss: 31678.58
[INFO 2017-10-23 14:17:00,767 demo.py:73] epoch 9, train loss: 45924.23, average train loss: 61590.01, base loss: 31594.95
[INFO 2017-10-23 14:17:02,529 demo.py:73] epoch 10, train loss: 46014.55, average train loss: 60174.06, base loss: 31906.52
[INFO 2017-10-23 14:17:04,267 demo.py:73] epoch 11, train loss: 41132.08, average train loss: 58587.22, base loss: 31795.65
[INFO 2017-10-23 14:17:06,063 demo.py:73] epoch 12, train loss: 40489.70, average train loss: 57195.11, base loss: 31747.17
[INFO 2017-10-23 14:17:07,832 demo.py:73] epoch 13, train loss: 40866.30, average train loss: 56028.76, base loss: 31919.73
[INFO 2017-10-23 14:17:09,589 demo.py:73] epoch 14, train loss: 36138.55, average train loss: 54702.75, base loss: 31775.78
