[INFO 2017-11-07 07:21:05,867 demo.py:215] Namespace(augment_reverse=False, batch_size=32, bg_move=False, bg_noise=0.5, data='kitti128', diff_div_thresh=1.25, display=False, display_all=False, fg_noise=0.1, fixed_data=False, image_channel=3, image_size=128, init_model_path='', learning_rate=0.001, max_diff_thresh=0.1, min_diff_thresh=0.01, motion_range=2, motion_type='affine', num_frame=3, num_objects=1, rand_noise=0, save_dir='./', save_display=False, save_display_dir='./', save_interval=100, seed=111, test=False, test_all=False, test_epoch=20, test_gt=False, test_interval=200, train=True, train_epoch=4000)
[INFO 2017-11-07 07:21:09,672 demo.py:73] epoch 0, train loss: 101571.11, average train loss: 101571.11, base loss: 85593.50
[INFO 2017-11-07 07:21:11,535 demo.py:73] epoch 1, train loss: 101939.10, average train loss: 101755.11, base loss: 87340.84
[INFO 2017-11-07 07:21:13,476 demo.py:73] epoch 2, train loss: 102967.45, average train loss: 102159.22, base loss: 90128.70
[INFO 2017-11-07 07:21:15,323 demo.py:73] epoch 3, train loss: 95109.86, average train loss: 100396.88, base loss: 89990.58
[INFO 2017-11-07 07:21:17,168 demo.py:73] epoch 4, train loss: 97084.88, average train loss: 99734.48, base loss: 90662.81
[INFO 2017-11-07 07:21:19,009 demo.py:73] epoch 5, train loss: 91064.44, average train loss: 98289.47, base loss: 89792.48
[INFO 2017-11-07 07:21:20,872 demo.py:73] epoch 6, train loss: 98945.62, average train loss: 98383.21, base loss: 91422.96
[INFO 2017-11-07 07:21:22,698 demo.py:73] epoch 7, train loss: 95470.93, average train loss: 98019.17, base loss: 92249.45
[INFO 2017-11-07 07:21:24,565 demo.py:73] epoch 8, train loss: 84957.42, average train loss: 96567.87, base loss: 91496.70
[INFO 2017-11-07 07:21:26,511 demo.py:73] epoch 9, train loss: 92868.53, average train loss: 96197.93, base loss: 92015.01
[INFO 2017-11-07 07:21:28,416 demo.py:73] epoch 10, train loss: 89919.20, average train loss: 95627.14, base loss: 91788.51
