[INFO 2017-09-30 18:26:56,318 demo.py:215] Namespace(batch_size=64, bg_move=False, bg_noise=0.5, data='robot64', diff_div_thresh=1.25, display=False, display_all=False, fg_noise=0.1, fixed_data=False, image_channel=3, image_size=64, init_model_path='', learning_rate=0.001, max_diff_thresh=0.1, min_diff_thresh=0.01, motion_range=2, motion_type='affine', num_frame=4, num_objects=1, save_dir='./', save_display=False, save_display_dir='./', save_interval=100, seed=111, test=False, test_all=False, test_epoch=20, test_gt=False, test_interval=200, train=True, train_epoch=2000)
[INFO 2017-09-30 18:27:03,165 demo.py:73] epoch 0, train loss: 57349.52, average train loss: 57349.52, base loss: 12232.42
[INFO 2017-09-30 18:27:05,198 demo.py:73] epoch 1, train loss: 48681.01, average train loss: 53015.27, base loss: 12275.63
[INFO 2017-09-30 18:27:07,320 demo.py:73] epoch 2, train loss: 43260.07, average train loss: 49763.53, base loss: 12439.22
[INFO 2017-09-30 18:27:09,260 demo.py:73] epoch 3, train loss: 40946.02, average train loss: 47559.15, base loss: 12476.02
[INFO 2017-09-30 18:27:11,246 demo.py:73] epoch 4, train loss: 36591.95, average train loss: 45365.71, base loss: 12427.79
[INFO 2017-09-30 18:27:13,347 demo.py:73] epoch 5, train loss: 33723.73, average train loss: 43425.38, base loss: 12492.63
[INFO 2017-09-30 18:27:15,262 demo.py:73] epoch 6, train loss: 30880.43, average train loss: 41633.25, base loss: 12435.58
[INFO 2017-09-30 18:27:17,283 demo.py:73] epoch 7, train loss: 30056.27, average train loss: 40186.12, base loss: 12597.81
[INFO 2017-09-30 18:27:19,170 demo.py:73] epoch 8, train loss: 27637.91, average train loss: 38791.88, base loss: 12547.81
[INFO 2017-09-30 18:27:21,128 demo.py:73] epoch 9, train loss: 27390.12, average train loss: 37651.70, base loss: 12614.71
[INFO 2017-09-30 18:27:22,976 demo.py:73] epoch 10, train loss: 25233.03, average train loss: 36522.73, base loss: 12613.44
[INFO 2017-09-30 18:27:25,021 demo.py:73] epoch 11, train loss: 24499.56, average train loss: 35520.80, base loss: 12594.87
[INFO 2017-09-30 18:27:26,792 demo.py:73] epoch 12, train loss: 23205.23, average train loss: 34573.45, base loss: 12549.61
[INFO 2017-09-30 18:27:28,530 demo.py:73] epoch 13, train loss: 22739.34, average train loss: 33728.15, base loss: 12563.63
[INFO 2017-09-30 18:27:30,436 demo.py:73] epoch 14, train loss: 21314.04, average train loss: 32900.55, base loss: 12530.61
[INFO 2017-09-30 18:27:32,398 demo.py:73] epoch 15, train loss: 20673.30, average train loss: 32136.34, base loss: 12510.04
[INFO 2017-09-30 18:27:34,313 demo.py:73] epoch 16, train loss: 21195.43, average train loss: 31492.76, base loss: 12601.49
[INFO 2017-09-30 18:27:36,205 demo.py:73] epoch 17, train loss: 19589.23, average train loss: 30831.45, base loss: 12647.31
[INFO 2017-09-30 18:27:38,061 demo.py:73] epoch 18, train loss: 17924.06, average train loss: 30152.12, base loss: 12611.00
[INFO 2017-09-30 18:27:40,169 demo.py:73] epoch 19, train loss: 17845.62, average train loss: 29536.79, base loss: 12605.41
[INFO 2017-09-30 18:27:42,099 demo.py:73] epoch 20, train loss: 17911.36, average train loss: 28983.20, base loss: 12645.98
[INFO 2017-09-30 18:27:44,258 demo.py:73] epoch 21, train loss: 16943.87, average train loss: 28435.96, base loss: 12662.64
[INFO 2017-09-30 18:27:46,311 demo.py:73] epoch 22, train loss: 15397.19, average train loss: 27869.06, base loss: 12624.21
[INFO 2017-09-30 18:27:48,248 demo.py:73] epoch 23, train loss: 15692.13, average train loss: 27361.68, base loss: 12628.47
[INFO 2017-09-30 18:27:50,150 demo.py:73] epoch 24, train loss: 15387.12, average train loss: 26882.70, base loss: 12643.74
[INFO 2017-09-30 18:27:52,257 demo.py:73] epoch 25, train loss: 14434.47, average train loss: 26403.92, base loss: 12636.50
[INFO 2017-09-30 18:27:54,388 demo.py:73] epoch 26, train loss: 13506.94, average train loss: 25926.26, base loss: 12599.40
[INFO 2017-09-30 18:27:56,458 demo.py:73] epoch 27, train loss: 14972.70, average train loss: 25535.06, base loss: 12654.02
[INFO 2017-09-30 18:27:58,541 demo.py:73] epoch 28, train loss: 13834.71, average train loss: 25131.60, base loss: 12662.92
[INFO 2017-09-30 18:28:00,431 demo.py:73] epoch 29, train loss: 13566.04, average train loss: 24746.08, base loss: 12672.87
[INFO 2017-09-30 18:28:02,447 demo.py:73] epoch 30, train loss: 13941.68, average train loss: 24397.55, base loss: 12703.78
[INFO 2017-09-30 18:28:04,401 demo.py:73] epoch 31, train loss: 12821.63, average train loss: 24035.80, base loss: 12700.27
[INFO 2017-09-30 18:28:06,283 demo.py:73] epoch 32, train loss: 13226.83, average train loss: 23708.26, base loss: 12714.78
[INFO 2017-09-30 18:28:08,215 demo.py:73] epoch 33, train loss: 12683.47, average train loss: 23384.00, base loss: 12716.12
[INFO 2017-09-30 18:28:10,271 demo.py:73] epoch 34, train loss: 12231.02, average train loss: 23065.34, base loss: 12704.88
[INFO 2017-09-30 18:28:12,233 demo.py:73] epoch 35, train loss: 12499.36, average train loss: 22771.84, base loss: 12710.68
[INFO 2017-09-30 18:28:14,151 demo.py:73] epoch 36, train loss: 12836.83, average train loss: 22503.33, base loss: 12723.71
[INFO 2017-09-30 18:28:16,128 demo.py:73] epoch 37, train loss: 11576.31, average train loss: 22215.78, base loss: 12700.10
[INFO 2017-09-30 18:28:18,075 demo.py:73] epoch 38, train loss: 12083.28, average train loss: 21955.97, base loss: 12697.02
[INFO 2017-09-30 18:28:20,119 demo.py:73] epoch 39, train loss: 11908.99, average train loss: 21704.79, base loss: 12692.53
[INFO 2017-09-30 18:28:22,115 demo.py:73] epoch 40, train loss: 12393.55, average train loss: 21477.69, base loss: 12700.34
[INFO 2017-09-30 18:28:24,087 demo.py:73] epoch 41, train loss: 11885.36, average train loss: 21249.30, base loss: 12696.42
[INFO 2017-09-30 18:28:26,119 demo.py:73] epoch 42, train loss: 12412.67, average train loss: 21043.80, base loss: 12706.45
[INFO 2017-09-30 18:28:28,295 demo.py:73] epoch 43, train loss: 12199.94, average train loss: 20842.80, base loss: 12714.92
[INFO 2017-09-30 18:28:30,452 demo.py:73] epoch 44, train loss: 11379.69, average train loss: 20632.51, base loss: 12700.12
[INFO 2017-09-30 18:28:32,434 demo.py:73] epoch 45, train loss: 12045.55, average train loss: 20445.84, base loss: 12704.76
[INFO 2017-09-30 18:28:34,359 demo.py:73] epoch 46, train loss: 12016.02, average train loss: 20266.48, base loss: 12706.80
[INFO 2017-09-30 18:28:36,503 demo.py:73] epoch 47, train loss: 11637.88, average train loss: 20086.72, base loss: 12701.03
[INFO 2017-09-30 18:28:38,324 demo.py:73] epoch 48, train loss: 11288.68, average train loss: 19907.17, base loss: 12687.11
[INFO 2017-09-30 18:28:40,217 demo.py:73] epoch 49, train loss: 11280.27, average train loss: 19734.63, base loss: 12673.81
[INFO 2017-09-30 18:28:42,283 demo.py:73] epoch 50, train loss: 12270.39, average train loss: 19588.27, base loss: 12684.95
[INFO 2017-09-30 18:28:44,253 demo.py:73] epoch 51, train loss: 11393.97, average train loss: 19430.69, base loss: 12676.19
[INFO 2017-09-30 18:28:46,207 demo.py:73] epoch 52, train loss: 11698.84, average train loss: 19284.80, base loss: 12675.68
[INFO 2017-09-30 18:28:48,189 demo.py:73] epoch 53, train loss: 11493.85, average train loss: 19140.53, base loss: 12672.09
[INFO 2017-09-30 18:28:50,245 demo.py:73] epoch 54, train loss: 12201.73, average train loss: 19014.37, base loss: 12681.10
[INFO 2017-09-30 18:28:52,226 demo.py:73] epoch 55, train loss: 11895.35, average train loss: 18887.24, base loss: 12686.10
[INFO 2017-09-30 18:28:54,819 demo.py:73] epoch 56, train loss: 11132.70, average train loss: 18751.20, base loss: 12676.07
[INFO 2017-09-30 18:28:56,995 demo.py:73] epoch 57, train loss: 11391.10, average train loss: 18624.30, base loss: 12669.68
[INFO 2017-09-30 18:28:58,881 demo.py:73] epoch 58, train loss: 11957.62, average train loss: 18511.30, base loss: 12676.16
[INFO 2017-09-30 18:29:00,878 demo.py:73] epoch 59, train loss: 11897.77, average train loss: 18401.08, base loss: 12680.33
[INFO 2017-09-30 18:29:02,905 demo.py:73] epoch 60, train loss: 11528.42, average train loss: 18288.41, base loss: 12676.94
[INFO 2017-09-30 18:29:04,870 demo.py:73] epoch 61, train loss: 11313.50, average train loss: 18175.91, base loss: 12669.91
[INFO 2017-09-30 18:29:06,723 demo.py:73] epoch 62, train loss: 11566.78, average train loss: 18071.01, base loss: 12668.53
[INFO 2017-09-30 18:29:08,735 demo.py:73] epoch 63, train loss: 12143.14, average train loss: 17978.38, base loss: 12678.79
[INFO 2017-09-30 18:29:10,614 demo.py:73] epoch 64, train loss: 12023.87, average train loss: 17886.78, base loss: 12687.99
[INFO 2017-09-30 18:29:12,612 demo.py:73] epoch 65, train loss: 11758.17, average train loss: 17793.92, base loss: 12691.50
[INFO 2017-09-30 18:29:14,649 demo.py:73] epoch 66, train loss: 11570.98, average train loss: 17701.04, base loss: 12692.87
[INFO 2017-09-30 18:29:16,670 demo.py:73] epoch 67, train loss: 11091.92, average train loss: 17603.85, base loss: 12687.79
[INFO 2017-09-30 18:29:18,634 demo.py:73] epoch 68, train loss: 11463.84, average train loss: 17514.86, base loss: 12688.23
[INFO 2017-09-30 18:29:20,905 demo.py:73] epoch 69, train loss: 11469.95, average train loss: 17428.50, base loss: 12683.95
[INFO 2017-09-30 18:29:23,003 demo.py:73] epoch 70, train loss: 11681.47, average train loss: 17347.56, base loss: 12689.91
[INFO 2017-09-30 18:29:25,027 demo.py:73] epoch 71, train loss: 11985.55, average train loss: 17273.09, base loss: 12702.48
[INFO 2017-09-30 18:29:27,209 demo.py:73] epoch 72, train loss: 11984.00, average train loss: 17200.63, base loss: 12712.82
[INFO 2017-09-30 18:29:29,308 demo.py:73] epoch 73, train loss: 11678.13, average train loss: 17126.01, base loss: 12719.45
[INFO 2017-09-30 18:29:31,497 demo.py:73] epoch 74, train loss: 12162.80, average train loss: 17059.83, base loss: 12732.66
[INFO 2017-09-30 18:29:33,446 demo.py:73] epoch 75, train loss: 10221.44, average train loss: 16969.85, base loss: 12716.09
[INFO 2017-09-30 18:29:35,474 demo.py:73] epoch 76, train loss: 12143.55, average train loss: 16907.17, base loss: 12728.59
[INFO 2017-09-30 18:29:37,479 demo.py:73] epoch 77, train loss: 10752.33, average train loss: 16828.26, base loss: 12721.74
[INFO 2017-09-30 18:29:39,437 demo.py:73] epoch 78, train loss: 11014.19, average train loss: 16754.67, base loss: 12715.10
[INFO 2017-09-30 18:29:41,746 demo.py:73] epoch 79, train loss: 10563.76, average train loss: 16677.28, base loss: 12703.70
[INFO 2017-09-30 18:29:43,846 demo.py:73] epoch 80, train loss: 11572.95, average train loss: 16614.27, base loss: 12709.19
[INFO 2017-09-30 18:29:46,040 demo.py:73] epoch 81, train loss: 11079.79, average train loss: 16546.77, base loss: 12708.98
[INFO 2017-09-30 18:29:48,159 demo.py:73] epoch 82, train loss: 11649.42, average train loss: 16487.77, base loss: 12715.64
[INFO 2017-09-30 18:29:50,359 demo.py:73] epoch 83, train loss: 10812.36, average train loss: 16420.20, base loss: 12708.87
[INFO 2017-09-30 18:29:52,444 demo.py:73] epoch 84, train loss: 11289.35, average train loss: 16359.84, base loss: 12712.08
[INFO 2017-09-30 18:29:54,550 demo.py:73] epoch 85, train loss: 10831.48, average train loss: 16295.56, base loss: 12706.16
[INFO 2017-09-30 18:29:56,494 demo.py:73] epoch 86, train loss: 11143.95, average train loss: 16236.34, base loss: 12706.37
[INFO 2017-09-30 18:29:58,364 demo.py:73] epoch 87, train loss: 11077.86, average train loss: 16177.72, base loss: 12708.55
[INFO 2017-09-30 18:30:00,439 demo.py:73] epoch 88, train loss: 11066.31, average train loss: 16120.29, base loss: 12709.97
[INFO 2017-09-30 18:30:02,503 demo.py:73] epoch 89, train loss: 11478.30, average train loss: 16068.71, base loss: 12714.79
[INFO 2017-09-30 18:30:04,469 demo.py:73] epoch 90, train loss: 10929.89, average train loss: 16012.24, base loss: 12714.59
[INFO 2017-09-30 18:30:06,514 demo.py:73] epoch 91, train loss: 10844.66, average train loss: 15956.07, base loss: 12712.23
[INFO 2017-09-30 18:30:08,391 demo.py:73] epoch 92, train loss: 10710.56, average train loss: 15899.67, base loss: 12704.45
[INFO 2017-09-30 18:30:10,481 demo.py:73] epoch 93, train loss: 11565.50, average train loss: 15853.56, base loss: 12715.20
[INFO 2017-09-30 18:30:12,600 demo.py:73] epoch 94, train loss: 11986.88, average train loss: 15812.86, base loss: 12730.61
[INFO 2017-09-30 18:30:14,805 demo.py:73] epoch 95, train loss: 11200.79, average train loss: 15764.82, base loss: 12732.72
[INFO 2017-09-30 18:30:16,849 demo.py:73] epoch 96, train loss: 11662.02, average train loss: 15722.52, base loss: 12742.76
[INFO 2017-09-30 18:30:18,805 demo.py:73] epoch 97, train loss: 11051.12, average train loss: 15674.85, base loss: 12742.97
[INFO 2017-09-30 18:30:20,922 demo.py:73] epoch 98, train loss: 11094.21, average train loss: 15628.58, base loss: 12747.41
[INFO 2017-09-30 18:30:22,970 demo.py:73] epoch 99, train loss: 10464.28, average train loss: 15576.94, base loss: 12740.94
[INFO 2017-09-30 18:30:25,092 demo.py:73] epoch 100, train loss: 10606.50, average train loss: 15109.51, base loss: 12740.43
[INFO 2017-09-30 18:30:27,091 demo.py:73] epoch 101, train loss: 10964.69, average train loss: 14732.35, base loss: 12744.15
[INFO 2017-09-30 18:30:29,083 demo.py:73] epoch 102, train loss: 11398.53, average train loss: 14413.73, base loss: 12747.01
[INFO 2017-09-30 18:30:31,469 demo.py:73] epoch 103, train loss: 10777.30, average train loss: 14112.05, base loss: 12745.52
[INFO 2017-09-30 18:30:33,613 demo.py:73] epoch 104, train loss: 11437.39, average train loss: 13860.50, base loss: 12756.73
[INFO 2017-09-30 18:30:35,573 demo.py:73] epoch 105, train loss: 10385.81, average train loss: 13627.12, base loss: 12750.65
[INFO 2017-09-30 18:30:37,695 demo.py:73] epoch 106, train loss: 10781.38, average train loss: 13426.13, base loss: 12755.60
[INFO 2017-09-30 18:30:39,693 demo.py:73] epoch 107, train loss: 10845.64, average train loss: 13234.02, base loss: 12746.44
[INFO 2017-09-30 18:30:41,859 demo.py:73] epoch 108, train loss: 11521.01, average train loss: 13072.86, base loss: 12760.86
[INFO 2017-09-30 18:30:43,976 demo.py:73] epoch 109, train loss: 10240.66, average train loss: 12901.36, base loss: 12751.89
[INFO 2017-09-30 18:30:46,092 demo.py:73] epoch 110, train loss: 10794.50, average train loss: 12756.98, base loss: 12753.68
[INFO 2017-09-30 18:30:48,247 demo.py:73] epoch 111, train loss: 11264.59, average train loss: 12624.63, base loss: 12763.18
[INFO 2017-09-30 18:30:50,133 demo.py:73] epoch 112, train loss: 10487.56, average train loss: 12497.45, base loss: 12764.43
[INFO 2017-09-30 18:30:52,177 demo.py:73] epoch 113, train loss: 11003.49, average train loss: 12380.09, base loss: 12767.16
[INFO 2017-09-30 18:30:54,433 demo.py:73] epoch 114, train loss: 10424.41, average train loss: 12271.19, base loss: 12765.92
[INFO 2017-09-30 18:30:56,389 demo.py:73] epoch 115, train loss: 10298.43, average train loss: 12167.45, base loss: 12763.86
[INFO 2017-09-30 18:30:58,450 demo.py:73] epoch 116, train loss: 10983.04, average train loss: 12065.32, base loss: 12752.69
[INFO 2017-09-30 18:31:00,473 demo.py:73] epoch 117, train loss: 11785.91, average train loss: 11987.29, base loss: 12761.33
[INFO 2017-09-30 18:31:02,718 demo.py:73] epoch 118, train loss: 10873.52, average train loss: 11916.78, base loss: 12769.23
[INFO 2017-09-30 18:31:04,787 demo.py:73] epoch 119, train loss: 10594.58, average train loss: 11844.27, base loss: 12767.10
[INFO 2017-09-30 18:31:07,069 demo.py:73] epoch 120, train loss: 10927.08, average train loss: 11774.43, base loss: 12763.39
[INFO 2017-09-30 18:31:09,352 demo.py:73] epoch 121, train loss: 10159.10, average train loss: 11706.58, base loss: 12753.11
[INFO 2017-09-30 18:31:11,503 demo.py:73] epoch 122, train loss: 10759.12, average train loss: 11660.20, base loss: 12762.18
[INFO 2017-09-30 18:31:13,648 demo.py:73] epoch 123, train loss: 10266.35, average train loss: 11605.94, base loss: 12757.15
[INFO 2017-09-30 18:31:15,898 demo.py:73] epoch 124, train loss: 10372.34, average train loss: 11555.80, base loss: 12747.51
[INFO 2017-09-30 18:31:18,041 demo.py:73] epoch 125, train loss: 10660.15, average train loss: 11518.05, base loss: 12747.36
[INFO 2017-09-30 18:31:20,173 demo.py:73] epoch 126, train loss: 11355.99, average train loss: 11496.54, base loss: 12765.15
[INFO 2017-09-30 18:31:22,390 demo.py:73] epoch 127, train loss: 11062.03, average train loss: 11457.44, base loss: 12752.28
[INFO 2017-09-30 18:31:24,582 demo.py:73] epoch 128, train loss: 10392.25, average train loss: 11423.01, base loss: 12743.04
[INFO 2017-09-30 18:31:26,809 demo.py:73] epoch 129, train loss: 11442.92, average train loss: 11401.78, base loss: 12750.04
[INFO 2017-09-30 18:31:28,969 demo.py:73] epoch 130, train loss: 10760.47, average train loss: 11369.97, base loss: 12741.43
[INFO 2017-09-30 18:31:31,191 demo.py:73] epoch 131, train loss: 10150.77, average train loss: 11343.26, base loss: 12735.30
[INFO 2017-09-30 18:31:33,179 demo.py:73] epoch 132, train loss: 11439.51, average train loss: 11325.39, base loss: 12737.58
[INFO 2017-09-30 18:31:35,428 demo.py:73] epoch 133, train loss: 10432.99, average train loss: 11302.88, base loss: 12730.71
