[INFO 2017-10-04 15:51:11,570 demo.py:215] Namespace(batch_size=64, bg_move=False, bg_noise=0.5, data='viper64', diff_div_thresh=1.25, display=False, display_all=False, fg_noise=0.1, fixed_data=False, image_channel=3, image_size=64, init_model_path='', learning_rate=0.001, max_diff_thresh=0.1, min_diff_thresh=0.01, motion_range=2, motion_type='affine', num_frame=4, num_objects=1, save_dir='./', save_display=False, save_display_dir='./', save_interval=100, seed=111, test=False, test_all=False, test_epoch=20, test_gt=False, test_interval=200, train=True, train_epoch=2000)
[INFO 2017-10-04 15:51:16,007 demo.py:73] epoch 0, train loss: 40463.04, average train loss: 40463.04, base loss: 25159.99
[INFO 2017-10-04 15:51:17,302 demo.py:73] epoch 1, train loss: 36641.87, average train loss: 38552.45, base loss: 25292.80
[INFO 2017-10-04 15:51:18,674 demo.py:73] epoch 2, train loss: 35881.21, average train loss: 37662.04, base loss: 26229.72
[INFO 2017-10-04 15:51:20,018 demo.py:73] epoch 3, train loss: 32921.88, average train loss: 36477.00, base loss: 26208.96
[INFO 2017-10-04 15:51:21,284 demo.py:73] epoch 4, train loss: 30537.22, average train loss: 35289.04, base loss: 25775.90
[INFO 2017-10-04 15:51:22,504 demo.py:73] epoch 5, train loss: 30329.36, average train loss: 34462.43, base loss: 25514.11
[INFO 2017-10-04 15:51:23,728 demo.py:73] epoch 6, train loss: 29060.67, average train loss: 33690.75, base loss: 25356.59
[INFO 2017-10-04 15:51:24,968 demo.py:73] epoch 7, train loss: 26754.92, average train loss: 32823.77, base loss: 25169.49
[INFO 2017-10-04 15:51:26,186 demo.py:73] epoch 8, train loss: 27829.37, average train loss: 32268.84, base loss: 25281.03
[INFO 2017-10-04 15:51:27,394 demo.py:73] epoch 9, train loss: 28480.02, average train loss: 31889.96, base loss: 25494.76
[INFO 2017-10-04 15:51:28,611 demo.py:73] epoch 10, train loss: 27071.20, average train loss: 31451.89, base loss: 25538.48
[INFO 2017-10-04 15:51:29,801 demo.py:73] epoch 11, train loss: 26379.99, average train loss: 31029.23, base loss: 25631.50
[INFO 2017-10-04 15:51:31,003 demo.py:73] epoch 12, train loss: 24653.82, average train loss: 30538.81, base loss: 25534.92
[INFO 2017-10-04 15:51:32,247 demo.py:73] epoch 13, train loss: 23804.78, average train loss: 30057.81, base loss: 25449.18
[INFO 2017-10-04 15:51:33,529 demo.py:73] epoch 14, train loss: 24497.50, average train loss: 29687.12, base loss: 25454.01
[INFO 2017-10-04 15:51:34,808 demo.py:73] epoch 15, train loss: 24926.37, average train loss: 29389.58, base loss: 25533.25
[INFO 2017-10-04 15:51:36,024 demo.py:73] epoch 16, train loss: 23056.23, average train loss: 29017.03, base loss: 25485.17
[INFO 2017-10-04 15:51:37,277 demo.py:73] epoch 17, train loss: 23522.42, average train loss: 28711.77, base loss: 25467.95
