[INFO 2017-11-14 13:59:32,161 demo.py:215] Namespace(augment_reverse=False, batch_size=32, bg_move=False, bg_noise=0.5, data='robot128c', diff_div_thresh=1.1, display=False, display_all=False, fg_noise=0.1, fixed_data=False, hist_equal=False, image_channel=3, image_size=128, init_model_path='', learning_rate=0.001, max_diff_thresh=0.2, min_diff_thresh=0.02, motion_range=2, motion_type='affine', num_frame=4, num_objects=1, rand_noise=0, save_dir='./', save_display=False, save_display_dir='./', save_interval=100, seed=111, test=False, test_all=False, test_epoch=20, test_gt=False, test_interval=200, train=True, train_epoch=2000)
[INFO 2017-11-14 13:59:44,508 demo.py:73] epoch 0, train loss: 108614.54, average train loss: 108614.54, base loss: 46428.16
[INFO 2017-11-14 13:59:51,123 demo.py:73] epoch 1, train loss: 98264.71, average train loss: 103439.62, base loss: 47456.70
[INFO 2017-11-14 13:59:56,438 demo.py:73] epoch 2, train loss: 86923.94, average train loss: 97934.40, base loss: 46992.70
[INFO 2017-11-14 14:00:01,229 demo.py:73] epoch 3, train loss: 80706.28, average train loss: 93627.37, base loss: 46692.39
[INFO 2017-11-14 14:00:10,631 demo.py:73] epoch 4, train loss: 76404.31, average train loss: 90182.76, base loss: 47038.14
[INFO 2017-11-14 14:00:17,108 demo.py:73] epoch 5, train loss: 74197.05, average train loss: 87518.47, base loss: 47325.71
[INFO 2017-11-14 14:00:23,313 demo.py:73] epoch 6, train loss: 72023.75, average train loss: 85304.94, base loss: 48010.40
[INFO 2017-11-14 14:00:30,165 demo.py:73] epoch 7, train loss: 64659.83, average train loss: 82724.30, base loss: 47660.63
[INFO 2017-11-14 14:00:40,524 demo.py:73] epoch 8, train loss: 66338.63, average train loss: 80903.67, base loss: 48096.64
[INFO 2017-11-14 14:00:47,139 demo.py:73] epoch 9, train loss: 58073.23, average train loss: 78620.63, base loss: 47640.82
[INFO 2017-11-14 14:00:54,116 demo.py:73] epoch 10, train loss: 56997.73, average train loss: 76654.91, base loss: 47488.20
[INFO 2017-11-14 14:01:01,930 demo.py:73] epoch 11, train loss: 56697.11, average train loss: 74991.76, base loss: 47507.99
[INFO 2017-11-14 14:01:09,798 demo.py:73] epoch 12, train loss: 52715.79, average train loss: 73278.22, base loss: 47236.22
[INFO 2017-11-14 14:01:16,759 demo.py:73] epoch 13, train loss: 56623.54, average train loss: 72088.60, base loss: 47489.48
[INFO 2017-11-14 14:01:21,774 demo.py:73] epoch 14, train loss: 50093.64, average train loss: 70622.27, base loss: 47336.88
[INFO 2017-11-14 14:01:27,117 demo.py:73] epoch 15, train loss: 52413.73, average train loss: 69484.24, base loss: 47446.47
[INFO 2017-11-14 14:01:33,796 demo.py:73] epoch 16, train loss: 49299.90, average train loss: 68296.92, base loss: 47426.31
[INFO 2017-11-14 14:01:39,587 demo.py:73] epoch 17, train loss: 48572.02, average train loss: 67201.10, base loss: 47397.36
[INFO 2017-11-14 14:01:45,194 demo.py:73] epoch 18, train loss: 47976.89, average train loss: 66189.30, base loss: 47431.54
[INFO 2017-11-14 14:01:54,240 demo.py:73] epoch 19, train loss: 43732.16, average train loss: 65066.44, base loss: 47269.17
[INFO 2017-11-14 14:02:01,058 demo.py:73] epoch 20, train loss: 43565.95, average train loss: 64042.61, base loss: 47138.39
[INFO 2017-11-14 14:02:07,751 demo.py:73] epoch 21, train loss: 44702.19, average train loss: 63163.50, base loss: 47136.58
[INFO 2017-11-14 14:02:14,322 demo.py:73] epoch 22, train loss: 43325.16, average train loss: 62300.96, base loss: 47075.15
[INFO 2017-11-14 14:02:24,370 demo.py:73] epoch 23, train loss: 40510.83, average train loss: 61393.04, base loss: 46930.30
[INFO 2017-11-14 14:02:31,301 demo.py:73] epoch 24, train loss: 45539.63, average train loss: 60758.90, base loss: 47038.15
[INFO 2017-11-14 14:02:38,160 demo.py:73] epoch 25, train loss: 43913.09, average train loss: 60110.99, base loss: 47112.88
[INFO 2017-11-14 14:02:43,878 demo.py:73] epoch 26, train loss: 42069.57, average train loss: 59442.78, base loss: 47101.85
[INFO 2017-11-14 14:02:49,823 demo.py:73] epoch 27, train loss: 40655.50, average train loss: 58771.81, base loss: 47041.98
[INFO 2017-11-14 14:02:57,287 demo.py:73] epoch 28, train loss: 42132.87, average train loss: 58198.05, base loss: 47071.36
[INFO 2017-11-14 14:03:03,620 demo.py:73] epoch 29, train loss: 42207.70, average train loss: 57665.04, base loss: 47097.28
[INFO 2017-11-14 14:03:10,760 demo.py:73] epoch 30, train loss: 39279.34, average train loss: 57071.95, base loss: 47020.84
[INFO 2017-11-14 14:03:18,744 demo.py:73] epoch 31, train loss: 37214.18, average train loss: 56451.40, base loss: 46903.63
[INFO 2017-11-14 14:03:24,905 demo.py:73] epoch 32, train loss: 41193.90, average train loss: 55989.05, base loss: 46941.74
[INFO 2017-11-14 14:03:33,238 demo.py:73] epoch 33, train loss: 41354.61, average train loss: 55558.63, base loss: 46972.44
[INFO 2017-11-14 14:03:39,916 demo.py:73] epoch 34, train loss: 39265.20, average train loss: 55093.10, base loss: 46936.56
[INFO 2017-11-14 14:03:46,548 demo.py:73] epoch 35, train loss: 40752.16, average train loss: 54694.74, base loss: 46968.99
[INFO 2017-11-14 14:03:55,172 demo.py:73] epoch 36, train loss: 37739.55, average train loss: 54236.49, base loss: 46928.24
[INFO 2017-11-14 14:04:01,339 demo.py:73] epoch 37, train loss: 36742.45, average train loss: 53776.12, base loss: 46853.55
[INFO 2017-11-14 14:04:10,386 demo.py:73] epoch 38, train loss: 41578.74, average train loss: 53463.37, base loss: 46933.91
[INFO 2017-11-14 14:04:17,881 demo.py:73] epoch 39, train loss: 39468.11, average train loss: 53113.49, base loss: 46944.12
[INFO 2017-11-14 14:04:25,353 demo.py:73] epoch 40, train loss: 41018.86, average train loss: 52818.50, base loss: 47001.28
[INFO 2017-11-14 14:04:33,278 demo.py:73] epoch 41, train loss: 39779.41, average train loss: 52508.04, base loss: 47027.77
[INFO 2017-11-14 14:04:41,985 demo.py:73] epoch 42, train loss: 39814.77, average train loss: 52212.85, base loss: 47043.12
[INFO 2017-11-14 14:04:47,814 demo.py:73] epoch 43, train loss: 43926.96, average train loss: 52024.53, base loss: 47168.02
[INFO 2017-11-14 14:04:52,828 demo.py:73] epoch 44, train loss: 37598.99, average train loss: 51703.97, base loss: 47138.32
[INFO 2017-11-14 14:04:59,259 demo.py:73] epoch 45, train loss: 35605.39, average train loss: 51354.00, base loss: 47053.30
[INFO 2017-11-14 14:05:06,202 demo.py:73] epoch 46, train loss: 37356.22, average train loss: 51056.17, base loss: 47045.11
[INFO 2017-11-14 14:05:13,462 demo.py:73] epoch 47, train loss: 37446.46, average train loss: 50772.64, base loss: 47024.07
[INFO 2017-11-14 14:05:20,081 demo.py:73] epoch 48, train loss: 36554.60, average train loss: 50482.47, base loss: 46975.18
[INFO 2017-11-14 14:05:25,653 demo.py:73] epoch 49, train loss: 37137.37, average train loss: 50215.57, base loss: 46948.69
[INFO 2017-11-14 14:05:32,404 demo.py:73] epoch 50, train loss: 40108.45, average train loss: 50017.39, base loss: 47026.70
[INFO 2017-11-14 14:05:38,360 demo.py:73] epoch 51, train loss: 39074.03, average train loss: 49806.94, base loss: 47002.64
[INFO 2017-11-14 14:05:44,845 demo.py:73] epoch 52, train loss: 39014.43, average train loss: 49603.31, base loss: 47007.78
[INFO 2017-11-14 14:05:50,477 demo.py:73] epoch 53, train loss: 39468.26, average train loss: 49415.62, base loss: 47036.57
