[INFO 2017-10-24 23:21:56,515 demo.py:260] Namespace(augment_reverse=True, batch_size=32, bg_move=False, bg_noise=0.5, data='robot128', diff_div_thresh=1.25, display=False, display_all=False, fg_noise=0.1, fixed_data=False, image_channel=3, image_size=128, init_model_path='', learning_rate=0.001, max_diff_thresh=0.1, min_diff_thresh=0.01, motion_range=2, motion_type='affine', num_frame=3, num_objects=1, rand_noise=0, save_dir='./', save_display=False, save_display_dir='./', save_interval=100, seed=111, test=False, test_all=False, test_epoch=20, test_gt=False, test_interval=200, train=True, train_epoch=2000)
[INFO 2017-10-24 23:22:03,187 demo.py:88] epoch 0, train loss: 117626.83, average train loss: 117626.83, base loss: 47181.25
[INFO 2017-10-24 23:22:05,013 demo.py:88] epoch 1, train loss: 103701.25, average train loss: 110664.04, base loss: 49403.85
[INFO 2017-10-24 23:22:06,780 demo.py:88] epoch 2, train loss: 93691.58, average train loss: 105006.55, base loss: 50399.36
[INFO 2017-10-24 23:22:08,610 demo.py:88] epoch 3, train loss: 86085.77, average train loss: 100276.36, base loss: 51365.44
[INFO 2017-10-24 23:22:10,408 demo.py:88] epoch 4, train loss: 80180.07, average train loss: 96257.10, base loss: 51505.44
[INFO 2017-10-24 23:22:12,227 demo.py:88] epoch 5, train loss: 76492.38, average train loss: 92962.98, base loss: 51442.58
[INFO 2017-10-24 23:22:13,964 demo.py:88] epoch 6, train loss: 72783.70, average train loss: 90080.23, base loss: 51981.51
[INFO 2017-10-24 23:22:15,769 demo.py:88] epoch 7, train loss: 69235.36, average train loss: 87474.62, base loss: 52413.56
[INFO 2017-10-24 23:22:17,565 demo.py:88] epoch 8, train loss: 64766.05, average train loss: 84951.44, base loss: 52524.56
[INFO 2017-10-24 23:22:19,349 demo.py:88] epoch 9, train loss: 61477.45, average train loss: 82604.04, base loss: 52509.83
[INFO 2017-10-24 23:22:21,153 demo.py:88] epoch 10, train loss: 59498.06, average train loss: 80503.50, base loss: 52530.21
[INFO 2017-10-24 23:22:22,958 demo.py:88] epoch 11, train loss: 56687.42, average train loss: 78518.83, base loss: 52483.06
[INFO 2017-10-24 23:22:24,759 demo.py:88] epoch 12, train loss: 55580.40, average train loss: 76754.33, base loss: 52408.77
[INFO 2017-10-24 23:22:26,548 demo.py:88] epoch 13, train loss: 57223.11, average train loss: 75359.25, base loss: 52668.16
[INFO 2017-10-24 23:22:28,303 demo.py:88] epoch 14, train loss: 52826.24, average train loss: 73857.05, base loss: 52520.94
[INFO 2017-10-24 23:22:30,094 demo.py:88] epoch 15, train loss: 53303.55, average train loss: 72572.45, base loss: 52568.70
[INFO 2017-10-24 23:22:31,864 demo.py:88] epoch 16, train loss: 53688.30, average train loss: 71461.62, base loss: 52739.26
[INFO 2017-10-24 23:22:33,628 demo.py:88] epoch 17, train loss: 49016.70, average train loss: 70214.68, base loss: 52523.85
[INFO 2017-10-24 23:22:35,420 demo.py:88] epoch 18, train loss: 50783.71, average train loss: 69192.00, base loss: 52573.46
[INFO 2017-10-24 23:22:37,245 demo.py:88] epoch 19, train loss: 53352.30, average train loss: 68400.01, base loss: 52790.12
[INFO 2017-10-24 23:22:39,047 demo.py:88] epoch 20, train loss: 49739.38, average train loss: 67511.41, base loss: 52787.23
[INFO 2017-10-24 23:22:40,776 demo.py:88] epoch 21, train loss: 53077.55, average train loss: 66855.33, base loss: 53072.71
[INFO 2017-10-24 23:22:42,543 demo.py:88] epoch 22, train loss: 50566.03, average train loss: 66147.10, base loss: 53160.87
[INFO 2017-10-24 23:22:44,350 demo.py:88] epoch 23, train loss: 46547.34, average train loss: 65330.44, base loss: 53061.64
[INFO 2017-10-24 23:22:46,139 demo.py:88] epoch 24, train loss: 52150.86, average train loss: 64803.26, base loss: 53279.56
[INFO 2017-10-24 23:22:47,934 demo.py:88] epoch 25, train loss: 44716.66, average train loss: 64030.70, base loss: 53082.22
[INFO 2017-10-24 23:22:49,749 demo.py:88] epoch 26, train loss: 49417.27, average train loss: 63489.46, base loss: 53140.19
[INFO 2017-10-24 23:22:51,547 demo.py:88] epoch 27, train loss: 46314.66, average train loss: 62876.07, base loss: 53067.61
[INFO 2017-10-24 23:22:53,382 demo.py:88] epoch 28, train loss: 49370.88, average train loss: 62410.38, base loss: 53157.49
[INFO 2017-10-24 23:22:55,181 demo.py:88] epoch 29, train loss: 47056.29, average train loss: 61898.57, base loss: 53126.68
[INFO 2017-10-24 23:22:56,956 demo.py:88] epoch 30, train loss: 45972.23, average train loss: 61384.82, base loss: 53053.50
[INFO 2017-10-24 23:22:58,787 demo.py:88] epoch 31, train loss: 48213.14, average train loss: 60973.20, base loss: 53087.51
[INFO 2017-10-24 23:23:00,614 demo.py:88] epoch 32, train loss: 50827.21, average train loss: 60665.75, base loss: 53259.69
[INFO 2017-10-24 23:23:02,534 demo.py:88] epoch 33, train loss: 46045.98, average train loss: 60235.76, base loss: 53178.55
[INFO 2017-10-24 23:23:04,357 demo.py:88] epoch 34, train loss: 46697.33, average train loss: 59848.94, base loss: 53134.69
[INFO 2017-10-24 23:23:06,165 demo.py:88] epoch 35, train loss: 48470.84, average train loss: 59532.89, base loss: 53179.89
[INFO 2017-10-24 23:23:07,934 demo.py:88] epoch 36, train loss: 45738.62, average train loss: 59160.07, base loss: 53126.17
[INFO 2017-10-24 23:23:09,801 demo.py:88] epoch 37, train loss: 47100.79, average train loss: 58842.72, base loss: 53097.99
