[INFO 2017-11-02 19:18:31,453 demo.py:260] Namespace(augment_reverse=False, batch_size=32, bg_move=False, bg_noise=0.5, data='viper128', diff_div_thresh=1.25, display=False, display_all=False, fg_noise=0.1, fixed_data=False, image_channel=3, image_size=128, init_model_path='', learning_rate=0.001, max_diff_thresh=0.1, min_diff_thresh=0.01, motion_range=2, motion_type='affine', num_frame=3, num_objects=1, rand_noise=0, save_dir='./', save_display=False, save_display_dir='./', save_interval=100, seed=111, test=False, test_all=False, test_epoch=20, test_gt=False, test_interval=200, train=True, train_epoch=4000)
[INFO 2017-11-02 19:18:35,995 demo.py:88] epoch 0, train loss: 102205.20, average train loss: 102205.20, base loss: 107815.81
[INFO 2017-11-02 19:18:37,764 demo.py:88] epoch 1, train loss: 92750.45, average train loss: 97477.83, base loss: 104300.77
[INFO 2017-11-02 19:18:39,547 demo.py:88] epoch 2, train loss: 93587.23, average train loss: 96180.96, base loss: 105066.86
[INFO 2017-11-02 19:18:41,312 demo.py:88] epoch 3, train loss: 83013.77, average train loss: 92889.16, base loss: 102316.79
[INFO 2017-11-02 19:18:43,080 demo.py:88] epoch 4, train loss: 78532.05, average train loss: 90017.74, base loss: 101035.59
[INFO 2017-11-02 19:18:44,851 demo.py:88] epoch 5, train loss: 91361.08, average train loss: 90241.63, base loss: 102627.38
[INFO 2017-11-02 19:18:46,627 demo.py:88] epoch 6, train loss: 88871.20, average train loss: 90045.86, base loss: 103097.77
[INFO 2017-11-02 19:18:48,369 demo.py:88] epoch 7, train loss: 87943.53, average train loss: 89783.07, base loss: 103216.23
[INFO 2017-11-02 19:18:50,127 demo.py:88] epoch 8, train loss: 88938.45, average train loss: 89689.22, base loss: 103002.07
[INFO 2017-11-02 19:18:51,862 demo.py:88] epoch 9, train loss: 82165.06, average train loss: 88936.80, base loss: 102474.39
[INFO 2017-11-02 19:18:53,630 demo.py:88] epoch 10, train loss: 79359.47, average train loss: 88066.14, base loss: 101654.84
[INFO 2017-11-02 19:18:55,370 demo.py:88] epoch 11, train loss: 76976.16, average train loss: 87141.97, base loss: 100954.59
[INFO 2017-11-02 19:18:57,122 demo.py:88] epoch 12, train loss: 76434.83, average train loss: 86318.35, base loss: 100303.63
[INFO 2017-11-02 19:18:58,849 demo.py:88] epoch 13, train loss: 74439.55, average train loss: 85469.86, base loss: 99589.81
[INFO 2017-11-02 19:19:00,638 demo.py:88] epoch 14, train loss: 85506.20, average train loss: 85472.28, base loss: 100242.51
[INFO 2017-11-02 19:19:02,394 demo.py:88] epoch 15, train loss: 82960.17, average train loss: 85315.28, base loss: 100591.04
[INFO 2017-11-02 19:19:04,155 demo.py:88] epoch 16, train loss: 74373.18, average train loss: 84671.62, base loss: 100110.80
[INFO 2017-11-02 19:19:05,899 demo.py:88] epoch 17, train loss: 75240.45, average train loss: 84147.67, base loss: 99746.65
[INFO 2017-11-02 19:19:07,619 demo.py:88] epoch 18, train loss: 80973.02, average train loss: 83980.58, base loss: 99820.49
[INFO 2017-11-02 19:19:09,375 demo.py:88] epoch 19, train loss: 75906.05, average train loss: 83576.86, base loss: 99625.41
[INFO 2017-11-02 19:19:11,182 demo.py:88] epoch 20, train loss: 78219.33, average train loss: 83321.74, base loss: 99587.89
[INFO 2017-11-02 19:19:12,958 demo.py:88] epoch 21, train loss: 74879.72, average train loss: 82938.01, base loss: 99286.03
[INFO 2017-11-02 19:19:14,762 demo.py:88] epoch 22, train loss: 79211.52, average train loss: 82775.99, base loss: 99511.06
[INFO 2017-11-02 19:19:16,534 demo.py:88] epoch 23, train loss: 85192.45, average train loss: 82876.67, base loss: 99927.02
[INFO 2017-11-02 19:19:18,317 demo.py:88] epoch 24, train loss: 80404.44, average train loss: 82777.78, base loss: 100048.75
[INFO 2017-11-02 19:19:20,087 demo.py:88] epoch 25, train loss: 78849.79, average train loss: 82626.71, base loss: 100100.51
[INFO 2017-11-02 19:19:21,875 demo.py:88] epoch 26, train loss: 91259.04, average train loss: 82946.42, base loss: 100811.43
[INFO 2017-11-02 19:19:23,649 demo.py:88] epoch 27, train loss: 73445.52, average train loss: 82607.10, base loss: 100600.42
[INFO 2017-11-02 19:19:25,407 demo.py:88] epoch 28, train loss: 79671.09, average train loss: 82505.86, base loss: 100616.10
[INFO 2017-11-02 19:19:27,204 demo.py:88] epoch 29, train loss: 76494.62, average train loss: 82305.49, base loss: 100541.93
[INFO 2017-11-02 19:19:29,006 demo.py:88] epoch 30, train loss: 78041.64, average train loss: 82167.94, base loss: 100574.82
[INFO 2017-11-02 19:19:30,770 demo.py:88] epoch 31, train loss: 78984.27, average train loss: 82068.46, base loss: 100695.35
