[INFO 2017-11-02 16:39:45,968 demo.py:234] Namespace(augment_reverse=False, batch_size=64, bg_move=False, bg_noise=0.5, data='mpii64', diff_div_thresh=1.25, display=False, display_all=False, fg_noise=0.1, fixed_data=False, image_channel=3, image_size=64, init_model_path='', learning_rate=0.001, max_diff_thresh=0.1, min_diff_thresh=0.01, motion_range=2, motion_type='affine', num_frame=3, num_objects=1, rand_noise=0, save_dir='./', save_display=False, save_display_dir='./', save_interval=100, seed=111, test=False, test_all=False, test_epoch=20, test_gt=False, test_interval=200, train=True, train_epoch=4000)
[INFO 2017-11-02 16:39:49,737 demo.py:73] epoch 0, train loss: 45083.90, average train loss: 45083.90, base loss: 20455.97
[INFO 2017-11-02 16:39:50,919 demo.py:73] epoch 1, train loss: 45084.99, average train loss: 45084.45, base loss: 21017.61
[INFO 2017-11-02 16:39:52,097 demo.py:73] epoch 2, train loss: 40927.15, average train loss: 43698.68, base loss: 20781.57
[INFO 2017-11-02 16:39:53,238 demo.py:73] epoch 3, train loss: 38458.28, average train loss: 42388.58, base loss: 20596.66
[INFO 2017-11-02 16:39:54,447 demo.py:73] epoch 4, train loss: 36617.43, average train loss: 41234.35, base loss: 20527.51
[INFO 2017-11-02 16:39:55,581 demo.py:73] epoch 5, train loss: 35582.48, average train loss: 40292.37, base loss: 20658.78
[INFO 2017-11-02 16:39:56,751 demo.py:73] epoch 6, train loss: 35626.13, average train loss: 39625.77, base loss: 20669.57
[INFO 2017-11-02 16:39:57,878 demo.py:73] epoch 7, train loss: 33240.54, average train loss: 38827.61, base loss: 20470.14
[INFO 2017-11-02 16:39:58,976 demo.py:73] epoch 8, train loss: 32997.92, average train loss: 38179.87, base loss: 20548.32
[INFO 2017-11-02 16:40:00,123 demo.py:73] epoch 9, train loss: 32787.86, average train loss: 37640.67, base loss: 20625.13
[INFO 2017-11-02 16:40:01,221 demo.py:73] epoch 10, train loss: 31075.40, average train loss: 37043.83, base loss: 20589.04
[INFO 2017-11-02 16:40:02,373 demo.py:73] epoch 11, train loss: 33138.05, average train loss: 36718.34, base loss: 20812.83
[INFO 2017-11-02 16:40:03,497 demo.py:73] epoch 12, train loss: 32311.31, average train loss: 36379.34, base loss: 20803.85
[INFO 2017-11-02 16:40:04,597 demo.py:73] epoch 13, train loss: 32050.09, average train loss: 36070.11, base loss: 20884.14
[INFO 2017-11-02 16:40:05,738 demo.py:73] epoch 14, train loss: 29656.15, average train loss: 35642.51, base loss: 20925.34
[INFO 2017-11-02 16:40:06,848 demo.py:73] epoch 15, train loss: 31397.68, average train loss: 35377.21, base loss: 21048.80
[INFO 2017-11-02 16:40:08,047 demo.py:73] epoch 16, train loss: 26148.25, average train loss: 34834.33, base loss: 20840.28
[INFO 2017-11-02 16:40:09,212 demo.py:73] epoch 17, train loss: 28872.67, average train loss: 34503.13, base loss: 20871.11
[INFO 2017-11-02 16:40:10,367 demo.py:73] epoch 18, train loss: 27480.59, average train loss: 34133.52, base loss: 20867.37
[INFO 2017-11-02 16:40:11,506 demo.py:73] epoch 19, train loss: 28000.16, average train loss: 33826.85, base loss: 20845.14
[INFO 2017-11-02 16:40:12,633 demo.py:73] epoch 20, train loss: 27462.72, average train loss: 33523.80, base loss: 20850.64
[INFO 2017-11-02 16:40:13,745 demo.py:73] epoch 21, train loss: 26482.89, average train loss: 33203.76, base loss: 20838.28
[INFO 2017-11-02 16:40:14,853 demo.py:73] epoch 22, train loss: 25630.97, average train loss: 32874.50, base loss: 20787.76
[INFO 2017-11-02 16:40:15,985 demo.py:73] epoch 23, train loss: 26486.21, average train loss: 32608.33, base loss: 20815.59
[INFO 2017-11-02 16:40:17,111 demo.py:73] epoch 24, train loss: 26453.71, average train loss: 32362.14, base loss: 20819.63
[INFO 2017-11-02 16:40:18,196 demo.py:73] epoch 25, train loss: 26999.29, average train loss: 32155.88, base loss: 20823.11
[INFO 2017-11-02 16:40:19,288 demo.py:73] epoch 26, train loss: 25821.22, average train loss: 31921.26, base loss: 20873.73
[INFO 2017-11-02 16:40:20,379 demo.py:73] epoch 27, train loss: 24781.64, average train loss: 31666.27, base loss: 20858.83
[INFO 2017-11-02 16:40:21,486 demo.py:73] epoch 28, train loss: 24847.75, average train loss: 31431.15, base loss: 20841.46
[INFO 2017-11-02 16:40:22,613 demo.py:73] epoch 29, train loss: 26611.91, average train loss: 31270.51, base loss: 20871.07
[INFO 2017-11-02 16:40:23,746 demo.py:73] epoch 30, train loss: 25428.02, average train loss: 31082.04, base loss: 20950.07
