[INFO 2017-11-13 20:49:53,703 demo.py:220] Namespace(augment_reverse=False, batch_size=64, bg_move=False, bg_noise=0.5, data='robot64', diff_div_thresh=1.25, display=False, display_all=False, fg_noise=0.1, fixed_data=False, image_channel=3, image_size=64, init_model_path='', learning_rate=0.001, max_diff_thresh=0.1, min_diff_thresh=0.01, motion_range=2, motion_type='affine', num_frame=3, num_objects=1, rand_noise=0, save_dir='./', save_display=False, save_display_dir='./', save_interval=100, seed=111, test=False, test_all=False, test_epoch=20, test_gt=False, test_interval=200, train=True, train_epoch=2000)
[INFO 2017-11-13 20:49:59,802 demo.py:78] epoch 0, train loss: 59646.97, average train loss: 59646.97, base loss: 7919.99
[INFO 2017-11-13 20:50:01,000 demo.py:78] epoch 1, train loss: 51555.77, average train loss: 55601.37, base loss: 8203.41
[INFO 2017-11-13 20:50:02,207 demo.py:78] epoch 2, train loss: 49175.54, average train loss: 53459.43, base loss: 8486.80
[INFO 2017-11-13 20:50:03,445 demo.py:78] epoch 3, train loss: 46154.29, average train loss: 51633.14, base loss: 8467.56
[INFO 2017-11-13 20:50:04,644 demo.py:78] epoch 4, train loss: 42480.29, average train loss: 49802.57, base loss: 8626.33
[INFO 2017-11-13 20:50:05,931 demo.py:78] epoch 5, train loss: 38993.59, average train loss: 48001.08, base loss: 8457.64
[INFO 2017-11-13 20:50:07,274 demo.py:78] epoch 6, train loss: 37491.79, average train loss: 46499.75, base loss: 8399.15
[INFO 2017-11-13 20:50:08,720 demo.py:78] epoch 7, train loss: 33932.77, average train loss: 44928.88, base loss: 8312.32
[INFO 2017-11-13 20:50:10,207 demo.py:78] epoch 8, train loss: 32099.97, average train loss: 43503.44, base loss: 8294.47
[INFO 2017-11-13 20:50:11,638 demo.py:78] epoch 9, train loss: 29314.80, average train loss: 42084.58, base loss: 8222.70
[INFO 2017-11-13 20:50:13,103 demo.py:78] epoch 10, train loss: 28334.58, average train loss: 40834.58, base loss: 8217.41
[INFO 2017-11-13 20:50:14,554 demo.py:78] epoch 11, train loss: 26446.99, average train loss: 39635.61, base loss: 8240.54
[INFO 2017-11-13 20:50:16,030 demo.py:78] epoch 12, train loss: 24062.17, average train loss: 38437.66, base loss: 8193.76
[INFO 2017-11-13 20:50:17,524 demo.py:78] epoch 13, train loss: 22946.25, average train loss: 37331.13, base loss: 8103.01
[INFO 2017-11-13 20:50:18,989 demo.py:78] epoch 14, train loss: 21941.35, average train loss: 36305.14, base loss: 8092.31
[INFO 2017-11-13 20:50:20,453 demo.py:78] epoch 15, train loss: 21553.61, average train loss: 35383.17, base loss: 8133.31
[INFO 2017-11-13 20:50:21,886 demo.py:78] epoch 16, train loss: 20038.49, average train loss: 34480.54, base loss: 8143.48
[INFO 2017-11-13 20:50:23,319 demo.py:78] epoch 17, train loss: 18417.05, average train loss: 33588.13, base loss: 8107.28
[INFO 2017-11-13 20:50:24,777 demo.py:78] epoch 18, train loss: 18274.82, average train loss: 32782.16, base loss: 8140.91
[INFO 2017-11-13 20:50:26,233 demo.py:78] epoch 19, train loss: 17628.30, average train loss: 32024.47, base loss: 8176.59
[INFO 2017-11-13 20:50:27,738 demo.py:78] epoch 20, train loss: 16510.10, average train loss: 31285.69, base loss: 8192.73
[INFO 2017-11-13 20:50:29,207 demo.py:78] epoch 21, train loss: 16336.41, average train loss: 30606.18, base loss: 8240.19
[INFO 2017-11-13 20:50:30,716 demo.py:78] epoch 22, train loss: 15328.74, average train loss: 29941.94, base loss: 8268.75
[INFO 2017-11-13 20:50:32,151 demo.py:78] epoch 23, train loss: 14471.47, average train loss: 29297.34, base loss: 8290.22
[INFO 2017-11-13 20:50:33,619 demo.py:78] epoch 24, train loss: 14657.86, average train loss: 28711.76, base loss: 8340.22
[INFO 2017-11-13 20:50:35,111 demo.py:78] epoch 25, train loss: 13245.98, average train loss: 28116.92, base loss: 8351.53
[INFO 2017-11-13 20:50:36,583 demo.py:78] epoch 26, train loss: 13012.59, average train loss: 27557.50, base loss: 8363.13
[INFO 2017-11-13 20:50:38,039 demo.py:78] epoch 27, train loss: 11601.68, average train loss: 26987.65, base loss: 8334.75
[INFO 2017-11-13 20:50:39,499 demo.py:78] epoch 28, train loss: 12271.22, average train loss: 26480.19, base loss: 8348.55
[INFO 2017-11-13 20:50:40,978 demo.py:78] epoch 29, train loss: 11316.72, average train loss: 25974.74, base loss: 8344.08
[INFO 2017-11-13 20:50:42,440 demo.py:78] epoch 30, train loss: 10897.36, average train loss: 25488.37, base loss: 8337.03
[INFO 2017-11-13 20:50:43,922 demo.py:78] epoch 31, train loss: 10570.98, average train loss: 25022.20, base loss: 8325.54
[INFO 2017-11-13 20:50:45,371 demo.py:78] epoch 32, train loss: 11376.04, average train loss: 24608.68, base loss: 8354.96
