[INFO 2017-11-14 00:19:56,421 demo.py:220] Namespace(augment_reverse=False, batch_size=32, bg_move=False, bg_noise=0.5, data='robot128', diff_div_thresh=1.25, display=False, display_all=False, fg_noise=0.1, fixed_data=False, hist_equal=False, image_channel=3, image_size=128, init_model_path='', learning_rate=0.001, max_diff_thresh=0.1, min_diff_thresh=0.01, motion_range=2, motion_type='affine', num_frame=4, num_objects=1, rand_noise=0, save_dir='./', save_display=False, save_display_dir='./', save_interval=100, seed=111, test=False, test_all=False, test_epoch=20, test_gt=False, test_interval=200, train=True, train_epoch=2000)
[INFO 2017-11-14 00:20:05,823 demo.py:78] epoch 0, train loss: 80610.08, average train loss: 80610.08, base loss: 15078.79
[INFO 2017-11-14 00:20:09,485 demo.py:78] epoch 1, train loss: 66520.16, average train loss: 73565.12, base loss: 15975.54
[INFO 2017-11-14 00:20:13,008 demo.py:78] epoch 2, train loss: 57403.81, average train loss: 68178.02, base loss: 16130.22
[INFO 2017-11-14 00:20:16,731 demo.py:78] epoch 3, train loss: 49491.60, average train loss: 63506.41, base loss: 15707.79
[INFO 2017-11-14 00:20:20,423 demo.py:78] epoch 4, train loss: 41407.35, average train loss: 59086.60, base loss: 15487.10
[INFO 2017-11-14 00:20:23,916 demo.py:78] epoch 5, train loss: 37790.47, average train loss: 55537.25, base loss: 15454.25
[INFO 2017-11-14 00:20:27,334 demo.py:78] epoch 6, train loss: 34507.08, average train loss: 52532.94, base loss: 15792.18
[INFO 2017-11-14 00:20:31,177 demo.py:78] epoch 7, train loss: 28682.43, average train loss: 49551.62, base loss: 15576.23
[INFO 2017-11-14 00:20:34,923 demo.py:78] epoch 8, train loss: 27972.62, average train loss: 47153.96, base loss: 15746.95
[INFO 2017-11-14 00:20:38,760 demo.py:78] epoch 9, train loss: 23464.84, average train loss: 44785.04, base loss: 15630.39
[INFO 2017-11-14 00:20:43,197 demo.py:78] epoch 10, train loss: 22573.05, average train loss: 42765.77, base loss: 15647.94
[INFO 2017-11-14 00:20:47,431 demo.py:78] epoch 11, train loss: 21516.60, average train loss: 40995.01, base loss: 15702.63
