[INFO 2017-11-15 18:54:25,822 demo.py:192] Namespace(augment_reverse=False, batch_size=64, bg_move=False, bg_noise=0.5, data='robot64', diff_div_thresh=1.25, display=False, display_all=False, fg_noise=0.1, fixed_data=False, hist_equal=False, image_channel=3, image_size=64, init_model_path='', learning_rate=0.001, max_diff_thresh=0.1, min_diff_thresh=0.01, motion_range=2, motion_type='affine', net_depth=6, num_frame=2, num_objects=1, rand_noise=0, save_dir='./', save_display=False, save_display_dir='./', save_interval=100, seed=111, test=False, test_all=False, test_epoch=20, test_gt=False, test_interval=200, train=True, train_epoch=2000)
[INFO 2017-11-15 18:54:33,637 demo.py:73] epoch 0, train loss: 25022.29, average train loss: 25022.29, base loss: 13747.09
[INFO 2017-11-15 18:54:34,703 demo.py:73] epoch 1, train loss: 33904.51, average train loss: 29463.40, base loss: 13092.36
[INFO 2017-11-15 18:54:35,728 demo.py:73] epoch 2, train loss: 24070.38, average train loss: 27665.72, base loss: 13362.97
[INFO 2017-11-15 18:54:36,725 demo.py:73] epoch 3, train loss: 17316.26, average train loss: 25078.36, base loss: 13463.88
[INFO 2017-11-15 18:54:37,729 demo.py:73] epoch 4, train loss: 15591.52, average train loss: 23180.99, base loss: 13398.53
[INFO 2017-11-15 18:54:38,696 demo.py:73] epoch 5, train loss: 14173.32, average train loss: 21679.71, base loss: 13254.71
[INFO 2017-11-15 18:54:39,669 demo.py:73] epoch 6, train loss: 15294.56, average train loss: 20767.55, base loss: 13419.80
[INFO 2017-11-15 18:54:40,636 demo.py:73] epoch 7, train loss: 14100.45, average train loss: 19934.16, base loss: 13414.73
[INFO 2017-11-15 18:54:41,591 demo.py:73] epoch 8, train loss: 14737.63, average train loss: 19356.77, base loss: 13488.08
[INFO 2017-11-15 18:54:42,565 demo.py:73] epoch 9, train loss: 13075.75, average train loss: 18728.67, base loss: 13397.24
[INFO 2017-11-15 18:54:43,534 demo.py:73] epoch 10, train loss: 12868.97, average train loss: 18195.97, base loss: 13316.53
[INFO 2017-11-15 18:54:44,467 demo.py:73] epoch 11, train loss: 13875.03, average train loss: 17835.89, base loss: 13334.96
[INFO 2017-11-15 18:54:45,382 demo.py:73] epoch 12, train loss: 12809.64, average train loss: 17449.25, base loss: 13274.68
[INFO 2017-11-15 18:54:46,326 demo.py:73] epoch 13, train loss: 12914.89, average train loss: 17125.37, base loss: 13233.92
[INFO 2017-11-15 18:54:47,276 demo.py:73] epoch 14, train loss: 15505.90, average train loss: 17017.41, base loss: 13376.84
[INFO 2017-11-15 18:54:48,238 demo.py:73] epoch 15, train loss: 13874.06, average train loss: 16820.95, base loss: 13395.58
[INFO 2017-11-15 18:54:49,171 demo.py:73] epoch 16, train loss: 14481.27, average train loss: 16683.32, base loss: 13452.69
[INFO 2017-11-15 18:54:50,107 demo.py:73] epoch 17, train loss: 13572.20, average train loss: 16510.48, base loss: 13453.81
[INFO 2017-11-15 18:54:51,043 demo.py:73] epoch 18, train loss: 14687.56, average train loss: 16414.54, base loss: 13514.75
[INFO 2017-11-15 18:54:51,968 demo.py:73] epoch 19, train loss: 14034.76, average train loss: 16295.55, base loss: 13537.24
[INFO 2017-11-15 18:54:52,957 demo.py:73] epoch 20, train loss: 13696.68, average train loss: 16171.79, base loss: 13542.44
[INFO 2017-11-15 18:54:53,927 demo.py:73] epoch 21, train loss: 14389.21, average train loss: 16090.76, base loss: 13580.71
[INFO 2017-11-15 18:54:54,869 demo.py:73] epoch 22, train loss: 13365.30, average train loss: 15972.27, base loss: 13569.83
[INFO 2017-11-15 18:54:55,803 demo.py:73] epoch 23, train loss: 13846.10, average train loss: 15883.68, base loss: 13579.48
[INFO 2017-11-15 18:54:56,767 demo.py:73] epoch 24, train loss: 13912.80, average train loss: 15804.84, base loss: 13593.90
[INFO 2017-11-15 18:54:57,697 demo.py:73] epoch 25, train loss: 13561.05, average train loss: 15718.54, base loss: 13592.91
[INFO 2017-11-15 18:54:58,652 demo.py:73] epoch 26, train loss: 12729.32, average train loss: 15607.83, base loss: 13561.76
[INFO 2017-11-15 18:54:59,604 demo.py:73] epoch 27, train loss: 13891.93, average train loss: 15546.55, base loss: 13574.23
[INFO 2017-11-15 18:55:00,542 demo.py:73] epoch 28, train loss: 12935.96, average train loss: 15456.53, base loss: 13553.74
[INFO 2017-11-15 18:55:01,500 demo.py:73] epoch 29, train loss: 13506.08, average train loss: 15391.51, base loss: 13554.22
[INFO 2017-11-15 18:55:02,490 demo.py:73] epoch 30, train loss: 14091.62, average train loss: 15349.58, base loss: 13573.79
[INFO 2017-11-15 18:55:03,561 demo.py:73] epoch 31, train loss: 12921.42, average train loss: 15273.70, base loss: 13554.91
[INFO 2017-11-15 18:55:04,635 demo.py:73] epoch 32, train loss: 14242.93, average train loss: 15242.46, base loss: 13578.74
[INFO 2017-11-15 18:55:05,700 demo.py:73] epoch 33, train loss: 12872.54, average train loss: 15172.76, base loss: 13559.93
[INFO 2017-11-15 18:55:06,762 demo.py:73] epoch 34, train loss: 12954.33, average train loss: 15109.38, base loss: 13543.91
[INFO 2017-11-15 18:55:07,897 demo.py:73] epoch 35, train loss: 12929.48, average train loss: 15048.82, base loss: 13528.64
[INFO 2017-11-15 18:55:09,022 demo.py:73] epoch 36, train loss: 13799.76, average train loss: 15015.07, base loss: 13539.22
[INFO 2017-11-15 18:55:10,113 demo.py:73] epoch 37, train loss: 12982.84, average train loss: 14961.59, base loss: 13526.45
[INFO 2017-11-15 18:55:11,210 demo.py:73] epoch 38, train loss: 15496.83, average train loss: 14975.31, base loss: 13580.59
[INFO 2017-11-15 18:55:12,291 demo.py:73] epoch 39, train loss: 13398.22, average train loss: 14935.88, base loss: 13578.84
[INFO 2017-11-15 18:55:13,364 demo.py:73] epoch 40, train loss: 12577.61, average train loss: 14878.36, base loss: 13557.48
[INFO 2017-11-15 18:55:14,439 demo.py:73] epoch 41, train loss: 14319.48, average train loss: 14865.06, base loss: 13578.93
[INFO 2017-11-15 18:55:15,517 demo.py:73] epoch 42, train loss: 14120.44, average train loss: 14847.74, base loss: 13595.60
[INFO 2017-11-15 18:55:16,592 demo.py:73] epoch 43, train loss: 13066.43, average train loss: 14807.26, base loss: 13587.03
[INFO 2017-11-15 18:55:17,698 demo.py:73] epoch 44, train loss: 13050.89, average train loss: 14768.23, base loss: 13577.93
[INFO 2017-11-15 18:55:18,790 demo.py:73] epoch 45, train loss: 12948.58, average train loss: 14728.67, base loss: 13567.84
[INFO 2017-11-15 18:55:19,859 demo.py:73] epoch 46, train loss: 12553.61, average train loss: 14682.39, base loss: 13549.47
[INFO 2017-11-15 18:55:20,942 demo.py:73] epoch 47, train loss: 12582.14, average train loss: 14638.64, base loss: 13531.91
[INFO 2017-11-15 18:55:22,028 demo.py:73] epoch 48, train loss: 13425.01, average train loss: 14613.87, base loss: 13534.40
[INFO 2017-11-15 18:55:23,098 demo.py:73] epoch 49, train loss: 13337.08, average train loss: 14588.33, base loss: 13534.39
[INFO 2017-11-15 18:55:24,183 demo.py:73] epoch 50, train loss: 13422.27, average train loss: 14565.47, base loss: 13536.29
[INFO 2017-11-15 18:55:25,241 demo.py:73] epoch 51, train loss: 13279.69, average train loss: 14540.74, base loss: 13534.03
[INFO 2017-11-15 18:55:26,342 demo.py:73] epoch 52, train loss: 12269.75, average train loss: 14497.89, base loss: 13513.70
[INFO 2017-11-15 18:55:27,416 demo.py:73] epoch 53, train loss: 13980.55, average train loss: 14488.31, base loss: 13527.91
[INFO 2017-11-15 18:55:28,513 demo.py:73] epoch 54, train loss: 13852.97, average train loss: 14476.76, base loss: 13539.42
[INFO 2017-11-15 18:55:29,623 demo.py:73] epoch 55, train loss: 12830.09, average train loss: 14447.36, base loss: 13532.31
[INFO 2017-11-15 18:55:30,721 demo.py:73] epoch 56, train loss: 14785.12, average train loss: 14453.28, base loss: 13559.52
[INFO 2017-11-15 18:55:31,789 demo.py:73] epoch 57, train loss: 12819.66, average train loss: 14425.12, base loss: 13550.40
[INFO 2017-11-15 18:55:32,854 demo.py:73] epoch 58, train loss: 13727.08, average train loss: 14413.28, base loss: 13559.00
[INFO 2017-11-15 18:55:33,958 demo.py:73] epoch 59, train loss: 13263.23, average train loss: 14394.12, base loss: 13559.54
