[INFO 2017-11-27 16:51:22,703 demo.py:206] Namespace(augment_reverse=False, batch_size=32, bg_move=False, bg_noise=0.5, data='robot128c', diff_div_thresh=1.25, display=False, display_all=False, fg_noise=0.1, fixed_data=False, hist_equal=False, image_channel=3, image_size=128, init_model_path='', learning_rate=0.001, max_diff_thresh=0.1, min_diff_thresh=0.02, motion_range=1, motion_type='affine', net_depth=6, num_frame=2, num_objects=1, rand_noise=0, save_dir='./', save_display=False, save_display_dir='./', save_interval=100, seed=111, test=False, test_all=False, test_epoch=20, test_gt=False, test_interval=200, train=True, train_epoch=2000)
[INFO 2017-11-27 16:51:33,254 demo.py:79] epoch 0, train loss: 74975.02, average train loss: 74975.02, base loss: 49813.06
[INFO 2017-11-27 16:51:34,020 demo.py:79] epoch 1, train loss: 72383.59, average train loss: 73679.30, base loss: 50152.92
[INFO 2017-11-27 16:51:34,703 demo.py:79] epoch 2, train loss: 60235.79, average train loss: 69198.13, base loss: 50496.61
[INFO 2017-11-27 16:51:35,422 demo.py:79] epoch 3, train loss: 57840.26, average train loss: 66358.67, base loss: 50876.86
[INFO 2017-11-27 16:51:36,107 demo.py:79] epoch 4, train loss: 52069.12, average train loss: 63500.76, base loss: 50392.61
[INFO 2017-11-27 16:51:36,796 demo.py:79] epoch 5, train loss: 48770.23, average train loss: 61045.67, base loss: 49691.77
[INFO 2017-11-27 16:51:37,485 demo.py:79] epoch 6, train loss: 48876.62, average train loss: 59307.23, base loss: 49314.72
[INFO 2017-11-27 16:51:38,179 demo.py:79] epoch 7, train loss: 47993.55, average train loss: 57893.02, base loss: 48974.82
[INFO 2017-11-27 16:51:38,859 demo.py:79] epoch 8, train loss: 49244.45, average train loss: 56932.07, base loss: 48918.21
[INFO 2017-11-27 16:51:39,563 demo.py:79] epoch 9, train loss: 48390.55, average train loss: 56077.92, base loss: 48807.33
[INFO 2017-11-27 16:51:40,259 demo.py:79] epoch 10, train loss: 52982.45, average train loss: 55796.51, base loss: 49196.29
[INFO 2017-11-27 16:51:40,955 demo.py:79] epoch 11, train loss: 50637.71, average train loss: 55366.61, base loss: 49295.43
[INFO 2017-11-27 16:51:41,617 demo.py:79] epoch 12, train loss: 45785.95, average train loss: 54629.64, base loss: 49034.37
[INFO 2017-11-27 16:51:42,277 demo.py:79] epoch 13, train loss: 48905.68, average train loss: 54220.78, base loss: 49093.56
[INFO 2017-11-27 16:51:42,955 demo.py:79] epoch 14, train loss: 44697.96, average train loss: 53585.93, base loss: 48862.55
[INFO 2017-11-27 16:51:43,649 demo.py:79] epoch 15, train loss: 45744.68, average train loss: 53095.85, base loss: 48729.06
[INFO 2017-11-27 16:51:44,346 demo.py:79] epoch 16, train loss: 46147.02, average train loss: 52687.10, base loss: 48638.84
[INFO 2017-11-27 16:51:45,031 demo.py:79] epoch 17, train loss: 46395.90, average train loss: 52337.58, base loss: 48637.89
[INFO 2017-11-27 16:51:45,696 demo.py:79] epoch 18, train loss: 48016.12, average train loss: 52110.14, base loss: 48706.58
[INFO 2017-11-27 16:51:46,338 demo.py:79] epoch 19, train loss: 43452.95, average train loss: 51677.28, base loss: 48537.80
[INFO 2017-11-27 16:51:47,040 demo.py:79] epoch 20, train loss: 51589.43, average train loss: 51673.10, base loss: 48814.35
[INFO 2017-11-27 16:51:47,728 demo.py:79] epoch 21, train loss: 45686.79, average train loss: 51400.99, base loss: 48726.48
[INFO 2017-11-27 16:51:48,392 demo.py:79] epoch 22, train loss: 44065.15, average train loss: 51082.04, base loss: 48555.99
[INFO 2017-11-27 16:51:49,050 demo.py:79] epoch 23, train loss: 48820.51, average train loss: 50987.81, base loss: 48675.15
[INFO 2017-11-27 16:51:49,736 demo.py:79] epoch 24, train loss: 45491.77, average train loss: 50767.97, base loss: 48686.91
[INFO 2017-11-27 16:51:50,459 demo.py:79] epoch 25, train loss: 48703.92, average train loss: 50688.58, base loss: 48845.80
[INFO 2017-11-27 16:51:51,146 demo.py:79] epoch 26, train loss: 44152.36, average train loss: 50446.50, base loss: 48771.81
[INFO 2017-11-27 16:51:51,779 demo.py:79] epoch 27, train loss: 45138.98, average train loss: 50256.95, base loss: 48822.39
[INFO 2017-11-27 16:51:52,473 demo.py:79] epoch 28, train loss: 42735.55, average train loss: 49997.59, base loss: 48767.93
[INFO 2017-11-27 16:51:53,146 demo.py:79] epoch 29, train loss: 46213.86, average train loss: 49871.46, base loss: 48833.98
[INFO 2017-11-27 16:51:53,800 demo.py:79] epoch 30, train loss: 45712.09, average train loss: 49737.29, base loss: 48869.79
[INFO 2017-11-27 16:51:54,453 demo.py:79] epoch 31, train loss: 40272.46, average train loss: 49441.51, base loss: 48666.42
[INFO 2017-11-27 16:51:55,213 demo.py:79] epoch 32, train loss: 42541.00, average train loss: 49232.41, base loss: 48518.20
[INFO 2017-11-27 16:51:55,951 demo.py:79] epoch 33, train loss: 45272.25, average train loss: 49115.93, base loss: 48532.03
[INFO 2017-11-27 16:51:56,636 demo.py:79] epoch 34, train loss: 42990.55, average train loss: 48940.92, base loss: 48468.06
[INFO 2017-11-27 16:51:57,389 demo.py:79] epoch 35, train loss: 43544.17, average train loss: 48791.01, base loss: 48420.93
[INFO 2017-11-27 16:51:58,106 demo.py:79] epoch 36, train loss: 41698.02, average train loss: 48599.31, base loss: 48271.43
[INFO 2017-11-27 16:51:58,811 demo.py:79] epoch 37, train loss: 45987.98, average train loss: 48530.59, base loss: 48320.74
[INFO 2017-11-27 16:51:59,517 demo.py:79] epoch 38, train loss: 43311.28, average train loss: 48396.76, base loss: 48284.18
[INFO 2017-11-27 16:52:00,180 demo.py:79] epoch 39, train loss: 46328.40, average train loss: 48345.05, base loss: 48343.60
[INFO 2017-11-27 16:52:00,849 demo.py:79] epoch 40, train loss: 43469.75, average train loss: 48226.14, base loss: 48328.32
[INFO 2017-11-27 16:52:01,504 demo.py:79] epoch 41, train loss: 46541.80, average train loss: 48186.04, base loss: 48410.25
[INFO 2017-11-27 16:52:02,180 demo.py:79] epoch 42, train loss: 41556.65, average train loss: 48031.87, base loss: 48367.12
[INFO 2017-11-27 16:52:02,862 demo.py:79] epoch 43, train loss: 44829.07, average train loss: 47959.08, base loss: 48431.60
[INFO 2017-11-27 16:52:03,521 demo.py:79] epoch 44, train loss: 41455.27, average train loss: 47814.55, base loss: 48399.18
[INFO 2017-11-27 16:52:04,187 demo.py:79] epoch 45, train loss: 40409.41, average train loss: 47653.57, base loss: 48286.79
[INFO 2017-11-27 16:52:04,850 demo.py:79] epoch 46, train loss: 44193.48, average train loss: 47579.95, base loss: 48320.86
[INFO 2017-11-27 16:52:05,504 demo.py:79] epoch 47, train loss: 41974.30, average train loss: 47463.16, base loss: 48314.50
[INFO 2017-11-27 16:52:06,183 demo.py:79] epoch 48, train loss: 42432.15, average train loss: 47360.49, base loss: 48330.39
[INFO 2017-11-27 16:52:06,832 demo.py:79] epoch 49, train loss: 41327.00, average train loss: 47239.82, base loss: 48311.73
[INFO 2017-11-27 16:52:07,494 demo.py:79] epoch 50, train loss: 45864.32, average train loss: 47212.85, base loss: 48407.31
[INFO 2017-11-27 16:52:08,134 demo.py:79] epoch 51, train loss: 43781.42, average train loss: 47146.86, base loss: 48429.43
[INFO 2017-11-27 16:52:08,779 demo.py:79] epoch 52, train loss: 40379.02, average train loss: 47019.17, base loss: 48353.45
[INFO 2017-11-27 16:52:09,496 demo.py:79] epoch 53, train loss: 39072.34, average train loss: 46872.00, base loss: 48268.45
[INFO 2017-11-27 16:52:10,193 demo.py:79] epoch 54, train loss: 47059.85, average train loss: 46875.42, base loss: 48377.04
[INFO 2017-11-27 16:52:10,852 demo.py:79] epoch 55, train loss: 40671.11, average train loss: 46764.63, base loss: 48336.65
[INFO 2017-11-27 16:52:11,504 demo.py:79] epoch 56, train loss: 37884.81, average train loss: 46608.84, base loss: 48259.52
[INFO 2017-11-27 16:52:12,166 demo.py:79] epoch 57, train loss: 40070.45, average train loss: 46496.11, base loss: 48237.92
[INFO 2017-11-27 16:52:12,871 demo.py:79] epoch 58, train loss: 39804.36, average train loss: 46382.69, base loss: 48223.07
[INFO 2017-11-27 16:52:13,557 demo.py:79] epoch 59, train loss: 41599.73, average train loss: 46302.97, base loss: 48248.94
[INFO 2017-11-27 16:52:14,224 demo.py:79] epoch 60, train loss: 47725.68, average train loss: 46326.30, base loss: 48372.75
[INFO 2017-11-27 16:52:14,963 demo.py:79] epoch 61, train loss: 44127.43, average train loss: 46290.83, base loss: 48406.42
[INFO 2017-11-27 16:52:15,651 demo.py:79] epoch 62, train loss: 42664.61, average train loss: 46233.27, base loss: 48419.10
[INFO 2017-11-27 16:52:16,303 demo.py:79] epoch 63, train loss: 42177.20, average train loss: 46169.90, base loss: 48404.80
[INFO 2017-11-27 16:52:16,933 demo.py:79] epoch 64, train loss: 41071.18, average train loss: 46091.45, base loss: 48400.17
[INFO 2017-11-27 16:52:17,602 demo.py:79] epoch 65, train loss: 40550.06, average train loss: 46007.49, base loss: 48371.52
[INFO 2017-11-27 16:52:18,237 demo.py:79] epoch 66, train loss: 37266.86, average train loss: 45877.04, base loss: 48320.51
[INFO 2017-11-27 16:52:18,900 demo.py:79] epoch 67, train loss: 38604.84, average train loss: 45770.09, base loss: 48259.98
[INFO 2017-11-27 16:52:19,571 demo.py:79] epoch 68, train loss: 44669.28, average train loss: 45754.14, base loss: 48326.19
[INFO 2017-11-27 16:52:20,273 demo.py:79] epoch 69, train loss: 45823.92, average train loss: 45755.14, base loss: 48411.22
[INFO 2017-11-27 16:52:20,955 demo.py:79] epoch 70, train loss: 41030.77, average train loss: 45688.59, base loss: 48401.22
[INFO 2017-11-27 16:52:21,604 demo.py:79] epoch 71, train loss: 38697.70, average train loss: 45591.50, base loss: 48382.18
[INFO 2017-11-27 16:52:22,268 demo.py:79] epoch 72, train loss: 38163.60, average train loss: 45489.75, base loss: 48342.91
[INFO 2017-11-27 16:52:22,937 demo.py:79] epoch 73, train loss: 38907.71, average train loss: 45400.80, base loss: 48310.59
[INFO 2017-11-27 16:52:23,596 demo.py:79] epoch 74, train loss: 39958.50, average train loss: 45328.24, base loss: 48310.22
[INFO 2017-11-27 16:52:24,273 demo.py:79] epoch 75, train loss: 39423.01, average train loss: 45250.54, base loss: 48299.15
